time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1707006237525000000,5.367,45,1.5,1.0811142921447754,27.892000198364258,0.9192765951156616,359.85247802734375,1095.4000244140625,-114.1335933,51.0782031
1707006242757000000,10.599,45,1.5,1.1190767288208008,21.78700065612793,0.15307816863059998,343.4964904785156,1095.2000732421875,-114.1335987,51.0781849
1707006247586000000,15.427999755859375,45,1.5,1.1863008737564087,22.013999938964844,0.28420212864875793,178.62184143066406,1095.2000732421875,-114.1335952,51.0781565
1707006248848957200,16.690957275390623,45,1.5,1.1863008737564087,30.31999969482422,0.36839234828948975,178.4175262451172,1095.2000732421875,-114.1335947,51.0781469
1707006249986475000,17.82847509765625,45,1.5,1.243444561958313,33.05799865722656,0.41709792613983154,178.1739044189453,1093.4897479011183,-114.1335942,51.07814
1707006252533000000,20.375,45,1.5,1.0915822982788086,31.190000534057617,0.20548446476459503,109.32170867919922,1095.4000244140625,-114.1335715,51.078158
1707006257552000000,25.394,45,1.5,1.0289061069488525,23.726999282836914,0.7689382433891296,347.08416748046875,1095.2000732421875,-114.1335887,51.0781987
1707006262418000000,30.259999755859376,45,1.5,1.0761843919754028,38.32400131225586,0.6144881248474121,346.39202880859375,1095.2000732421875,-114.1335974,51.0782198
1707006267751000000,35.593,45,1.5,1.0106300115585327,29.690000534057617,0.97786545753479,354.37933349609375,1095.2000732421875,-114.1336001,51.0782888
1707006272550000000,40.392000244140625,45,1.5,1.0958499908447266,23.92300033569336,0.7176007032394409,174.4686279296875,1095.4000244140625,-114.1335794,51.0781557
1707006277791000000,45.633,45,1.5,0.9972864389419556,27.63800048828125,0.6951215267181396,248.91085815429688,1095.2000732421875,-114.1336689,51.0781605
1707006284235000000,52.077,45,1.5,1.011333703994751,22.94300079345703,0.15996970236301422,14.5914306640625,1095.2000732421875,-114.1336191,51.0781865
1707006289906000000,57.747999755859375,45,1.5,1.0443775653839111,22.750999450683594,0.34464842081069946,8.556844711303711,1093.1542450477002,-114.1336142,51.0782118
1707006295949000000,63.791,45,1.5,1.014621376991272,21.04400062561035,0.13306277990341187,45.35508346557617,1093.1682001290576,-114.1336032,51.0782071
1707006300971000000,68.813,45,1.5,1.0315735340118408,22.280000686645508,0.3769738972187042,134.87933349609375,1095.4000244140625,-114.1335731,51.0781807
1707006306886000000,74.72800024414063,45,1.5,1.0291179418563843,24.17799949645996,0.5239896774291992,155.54539489746094,1095.2000732421875,-114.1335578,51.0781471
1707006311926000000,79.76800024414062,45,1.5,1.024086594581604,14.138999938964844,0.7530463933944702,151.9152069091797,1095.4000244140625,-114.1335224,51.0781086
1707006318246000000,86.08800024414063,45,1.5,0.9928522706031799,21.398000717163086,0.9166182279586792,327.9039001464844,1095.2000732421875,-114.1336012,51.0781901
