
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-154,-113,14,18.5,accel_data
Y,-41,-30,52,0,accel_data
X,-149,-132,20,9.75,accel_data
Relative Altitude,19,51,69,51,bar_data
Pressure,-1,0,55,51,bar_data
Z,-31,12,57,38.75,gyro_data
Y,-144,-81,31,13.5,gyro_data
X,-115,-81,25,26.5,gyro_data
Z,-69,-19,56,69.25,grav_data
Y,29,34,76,73.5,grav_data
X,48,50,87,52.5,grav_data
qz,-18,47,71,85.5,orient_data
qy,-45,43,69,85.5,orient_data
qx,-57,-8,55,81.75,orient_data
qw,19,75,90,74.75,orient_data
roll,29,54,75,69.25,orient_data
pitch,41,57,83,59,orient_data
yaw,31,42,83,75.25,orient_data
