
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-708,-611,-57,10.5,accel_data
Y,-391,-266,66,-51.5,accel_data
X,-726,-583,-47,46,accel_data
Relative Altitude,-170,-114,100,65.5,bar_data
Pressure,-199,-153,74,65.5,bar_data
Z,-674,-385,25,79,gyro_data
Y,-397,-220,75,76.5,gyro_data
X,-409,-127,48,57,gyro_data
Z,-96,55,211,172.25,grav_data
Y,-117,-45,168,192,grav_data
X,-318,-98,115,180,grav_data
qz,-78,102,208,199.5,orient_data
qy,-169,67,197,217.75,orient_data
qx,-172,38,199,184.5,orient_data
qw,-80,93,226,208,orient_data
roll,-311,-205,120,189.75,orient_data
pitch,-121,27,192,179.5,orient_data
yaw,-160,-5,171,168.5,orient_data
