
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-484,-425,-154,-77.25,accel_data
Y,-542,-419,-169,-85.5,accel_data
X,-516,-382,-147,-102.75,accel_data
Relative Altitude,-98,-69,-21,-23.25,bar_data
Pressure,-173,-102,-32,-23.25,bar_data
Z,-440,-296,-94,-33,gyro_data
Y,-453,-333,-120,-68.5,gyro_data
X,-393,-220,-83,-46.5,gyro_data
Z,-182,-80,-17,1.25,grav_data
Y,-133,-97,-22,0.5,grav_data
X,-201,-80,-17,1.75,grav_data
qz,-195,-102,-19,2.75,orient_data
qy,-196,-143,-32,-1.25,orient_data
qx,-195,-93,-21,4.25,orient_data
qw,-178,-83,-18,-6,orient_data
roll,-236,-83,-21,2.75,orient_data
pitch,-124,-31,-2,-1,orient_data
yaw,-203,-178,-40,1.5,orient_data
