
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-299,-106,20,66.5,accel_data
Y,-127,-91,70,2,accel_data
X,-259,-206,70,14,accel_data
Relative Altitude,80,99,158,101,bar_data
Pressure,26,30,126,101,bar_data
Z,-76,12,111,70.5,gyro_data
Y,-264,-144,61,43,gyro_data
X,-166,-67,106,70,gyro_data
Z,56,88,154,117.25,grav_data
Y,32,35,141,137.5,grav_data
X,94,100,170,106,grav_data
qz,71,126,159,147.75,orient_data
qy,-26,61,151,184.25,orient_data
qx,-28,107,172,180,orient_data
qw,48,120,180,168,orient_data
roll,94,107,166,134.5,orient_data
pitch,51,109,139,112.5,orient_data
yaw,101,132,182,166.25,orient_data
