
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-248,-188,-66,-59.5,accel_data
Y,-261,-229,-73,-54.5,accel_data
X,-271,-215,-79,-73.5,accel_data
Relative Altitude,-24,-11,1,-2,bar_data
Pressure,-57,-38,-8,-2,bar_data
Z,-153,-76,-21,-2,gyro_data
Y,-246,-197,-57,-44,gyro_data
X,-225,-145,-38,-16,gyro_data
Z,-82,-29,-9,-1.5,grav_data
Y,-50,-12,3,2.5,grav_data
X,-60,-32,-6,-2.5,grav_data
qz,-73,-51,-11,0,orient_data
qy,-45,-29,-3,1,orient_data
qx,-75,-35,-8,-3,orient_data
qw,-87,-6,-1,-1.25,orient_data
roll,-86,-30,-9,-2.5,orient_data
pitch,-49,-39,-5,3,orient_data
yaw,-73,-47,-12,-1.25,orient_data
