
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-667,-546,-81,-48,accel_data
Y,-507,-165,25,-39,accel_data
X,-613,-575,-70,-21,accel_data
Relative Altitude,-44,-19,115,53,bar_data
Pressure,-68,-54,94,53,bar_data
Z,-335,-167,39,35.5,gyro_data
Y,-285,-136,54,-42,gyro_data
X,-126,-6,96,65,gyro_data
Z,-22,45,135,131.25,grav_data
Y,-123,-101,104,198.75,grav_data
X,-119,75,117,116.75,grav_data
qz,-87,-4,105,147,orient_data
qy,-80,40,135,118,orient_data
qx,-143,1,128,157,orient_data
qw,-40,26,117,120.25,orient_data
roll,-104,-48,111,83.25,orient_data
pitch,-123,104,131,169.75,orient_data
yaw,-117,-13,108,65,orient_data
