
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-400,-299,-126,-88,accel_data
Y,-401,-264,-104,-117,accel_data
X,-435,-376,-132,-154.5,accel_data
Relative Altitude,-46,-34,-15,-15,bar_data
Pressure,-54,-31,-15,-15,bar_data
Z,-183,-96,-28,-21,gyro_data
Y,-242,-223,-72,-52.5,gyro_data
X,-131,-79,-28,-15,gyro_data
Z,-104,-72,-28,-20.75,grav_data
Y,-60,-16,-15,-13.5,grav_data
X,-124,-65,-28,-19.25,grav_data
qz,-107,-100,-31,-20.5,orient_data
qy,-109,-31,-17,-13,orient_data
qx,-96,-29,-16,-6.5,orient_data
qw,-78,-65,-22,-14.75,orient_data
roll,-173,-98,-35,-12,orient_data
pitch,-55,-54,-16,-15.25,orient_data
yaw,-110,-58,-24,-7.5,orient_data
