
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-286,-258,-79,-59.5,accel_data
Y,-283,-260,-75,-42.5,accel_data
X,-247,-165,-46,-39.5,accel_data
Relative Altitude,-46,-38,-2,-3,bar_data
Pressure,-54,-32,-1,-3,bar_data
Z,-140,-82,-11,-15.5,gyro_data
Y,-274,-191,-63,-47,gyro_data
X,-194,-108,-25,-30,gyro_data
Z,-60,-12,0,-4.75,grav_data
Y,-7,0,12,-0.75,grav_data
X,-38,-38,2,7.5,grav_data
qz,-12,-12,10,-0.25,orient_data
qy,-57,-17,-4,-9,orient_data
qx,-13,0,9,-0.25,orient_data
qw,-56,-56,-5,5,orient_data
roll,-71,-10,-1,1.5,orient_data
pitch,-8,-8,13,-0.5,orient_data
yaw,-71,-8,-1,8.5,orient_data
