
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-532,-449,-161,-143.75,accel_data
Y,-457,-393,-134,-91.5,accel_data
X,-528,-475,-158,-156.25,accel_data
Relative Altitude,-81,-61,-14,-7.75,bar_data
Pressure,-168,-109,-29,-7.75,bar_data
Z,-465,-290,-111,-39.5,gyro_data
Y,-621,-521,-173,-124,gyro_data
X,-535,-376,-132,-40.25,gyro_data
Z,-286,-24,2,14.25,grav_data
Y,-242,-214,-46,13.25,grav_data
X,-236,-62,-14,-2,grav_data
qz,-337,-16,7,13.75,orient_data
qy,-309,-50,-2,13.25,orient_data
qx,-316,-230,-41,0.75,orient_data
qw,-345,-50,-6,11.5,orient_data
roll,-246,-182,-36,-1,orient_data
pitch,-239,-47,-3,13.75,orient_data
yaw,-232,-129,-49,-25,orient_data
