
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-396,-334,-109,-117.75,accel_data
Y,-405,-344,-119,-72,accel_data
X,-397,-349,-117,-80,accel_data
Relative Altitude,-46,-34,-6,-8.5,bar_data
Pressure,-107,-82,-19,-8.5,bar_data
Z,-364,-237,-68,-34.5,gyro_data
Y,-376,-269,-87,-38,gyro_data
X,-317,-208,-63,-11.5,gyro_data
Z,-110,-17,4,7.75,grav_data
Y,-91,-37,-6,3.75,grav_data
X,-173,-91,-16,5.5,grav_data
qz,-233,-46,-7,4.25,orient_data
qy,-217,-53,-11,-0.25,orient_data
qx,-159,-50,-14,3.5,orient_data
qw,-128,-92,-18,-4.25,orient_data
roll,-150,-17,2,9.25,orient_data
pitch,-87,-53,-8,3.75,orient_data
yaw,-200,-178,-43,7.5,orient_data
