time,seconds_elapsed,relativeAltitude,pressure
1710889396514911000,0.219910888671875,0,892.3578491210938
1710889396554912500,0.25991259765625,-0.324951171875,892.3932495117188
1710889396594915000,0.2999150390625,-0.37255859375,892.3983764648438
1710889396634904600,0.339904541015625,-0.3197021484375,892.3927612304688
1710889396674911500,0.379911376953125,-0.1373291015625,892.3727416992188
1710889396714907600,0.41990771484375,0.060791015625,892.3515014648438
1710889396754908200,0.459908203125,0.3355712890625,892.3214721679688
1710889396794902500,0.499902587890625,0.48095703125,892.3058471679688
1710889396835021600,0.540021484375,0.4439697265625,892.3097534179688
1710889396874926300,0.57992626953125,0.46240234375,892.3078002929688
1710889396914908400,0.619908447265625,0.478271484375,892.3060913085938
1710889396954916900,0.659916748046875,0.50732421875,892.3031616210938
1710889396994905900,0.69990576171875,0.5601806640625,892.2973022460938
1710889397034918400,0.73991845703125,0.631591796875,892.2894897460938
1710889397074907400,0.779907470703125,0.8878173828125,892.2619018554688
1710889397114908000,0.819907958984375,1.2498779296875,892.2225952148438
1710889397154904000,0.859904052734375,1.5035400390625,892.1950073242188
1710889397194913300,0.899913330078125,1.6383056640625,892.1803588867188
1710889397234911700,0.939911865234375,1.968505859375,892.1447143554688
1710889397274913000,0.9799130859375,1.955322265625,892.1461791992188
1710889397314909200,1.0199091796875,2.0108642578125,892.1400756835938
1710889397354907000,1.059906982421875,1.878662109375,892.1544799804688
1710889397395064800,1.10006494140625,1.627685546875,892.1815795898438
1710889397434908400,1.139908447265625,1.223388671875,892.2252807617188
1710889397474912500,1.17991259765625,0.8138427734375,892.2697143554688
1710889397514903800,1.21990380859375,0.388427734375,892.3158569335938
1710889397554895400,1.259895263671875,0.0660400390625,892.3507690429688
1710889397594909700,1.29990966796875,0.015869140625,892.3563842773438
1710889397634910200,1.33991015625,0.2615966796875,892.3297729492188
1710889397674909700,1.37990966796875,0.59716796875,892.2931518554688
1710889397714904000,1.419904052734375,1.033203125,892.2460327148438
1710889397755034000,1.4600341796875,1.3397216796875,892.2128295898438
1710889397794939400,1.499939453125,1.5589599609375,892.1889038085938
1710889397835085800,1.5400859375,1.6805419921875,892.1759643554688
