time,seconds_elapsed,z,y,x
1710889396342706000,0.047705810546875,6.641643524169922,6.1005096435546875,3.8526265621185303
1710889396361665000,0.0666650390625,6.66096305847168,6.1473588943481445,3.743253469467163
1710889396380624600,0.085624755859375,6.604222297668457,6.2195963859558105,3.7244129180908203
1710889396399584000,0.104583984375,6.430043697357178,6.384383678436279,3.7502756118774414
1710889396418543400,0.12354345703125,6.171358585357666,6.625410079956055,3.7667834758758545
1710889396437503000,0.1425029296875,5.882679462432861,6.8751444816589355,3.7811176776885986
1710889396456462300,0.16146240234375,5.639180660247803,7.038091659545898,3.8516619205474854
1710889396475421700,0.180421630859375,5.392313003540039,7.158316135406494,3.981438398361206
1710889396494381000,0.199381103515625,5.110402584075928,7.26273775100708,4.160145282745361
1710889396513340700,0.218340576171875,4.761875629425049,7.3854241371154785,4.35321044921875
1710889396532300000,0.237300048828125,4.181186676025391,7.707474708557129,4.391231060028076
1710889396551259400,0.25625927734375,3.7765562534332275,7.945704460144043,4.332874298095703
1710889396570218800,0.27521875,3.4236221313476562,8.079634666442871,4.378207683563232
1710889396589178400,0.294178466796875,3.174968719482422,8.1052827835083,4.516011714935303
1710889396608137700,0.3131376953125,2.9946320056915283,8.118539810180664,4.61431360244751
1710889396627097000,0.33209716796875,2.8552021980285645,8.194717407226562,4.567803382873535
1710889396646056400,0.351056396484375,2.728461980819702,8.31635570526123,4.42313289642334
1710889396665016000,0.37001611328125,2.5630173683166504,8.466121673583984,4.233923435211182
1710889396683975400,0.388975341796875,2.370880603790283,8.608489990234375,4.055023193359375
1710889396702934800,0.407934814453125,2.185302495956421,8.751093864440918,3.8487908840179443
1710889396721894400,0.426894287109375,2.019735813140869,8.88866138458252,3.617009162902832
1710889396740853800,0.445853759765625,1.8729363679885864,9.01486873626709,3.375596046447754
1710889396759813000,0.464813232421875,1.7398273944854736,9.128304481506348,3.133279800415039
1710889396778772500,0.4837724609375,1.6260707378387451,9.228992462158203,2.88997745513916
1710889396797732000,0.502732177734375,1.536580204963684,9.317618370056152,2.644105911254883
1710889396816691500,0.52169140625,1.4574109315872192,9.394730567932129,2.4052813053131104
1710889396835650800,0.54065087890625,1.3831974267959595,9.456646919250488,2.197496175765991
1710889396854610400,0.5596103515625,1.3079628944396973,9.505062103271484,2.0281567573547363
1710889396873569800,0.57856982421875,1.2374178171157837,9.539765357971191,1.9058011770248413
1710889396892529200,0.597529052734375,1.1795929670333862,9.561905860900879,1.8300002813339233
1710889396911488500,0.616488525390625,1.1480621099472046,9.572583198547363,1.7938717603683472
1710889396930448100,0.6354482421875,1.1496611833572388,9.5739107131958,1.7857532501220703
1710889396949407500,0.654407470703125,1.1798632144927979,9.568872451782227,1.793035864830017
1710889396968366800,0.673366943359375,1.227658748626709,9.559301376342773,1.8119066953659058
1710889396987326200,0.692326171875,1.2944579124450684,9.550046920776367,1.8142118453979492
1710889397006285800,0.711285888671875,1.368302345275879,9.547419548034668,1.7733925580978394
1710889397025245200,0.7302451171875,1.455767273902893,9.549739837646484,1.689258337020874
1710889397044204500,0.74920458984375,1.560815691947937,9.551314353942871,1.5832363367080688
1710889397063164000,0.768163818359375,1.6889336109161377,9.546663284301758,1.4761741161346436
1710889397082123500,0.78712353515625,1.8253424167633057,9.53660774230957,1.375364065170288
1710889397101083000,0.806082763671875,1.962119460105896,9.523811340332031,1.2718132734298706
1710889397120042200,0.825042236328125,2.0783629417419434,9.51375961303711,1.1572291851043701
1710889397139001900,0.844001953125,2.150865316390991,9.511860847473145,1.0337610244750977
1710889397157961200,0.862961181640625,2.1666951179504395,9.522433280944824,0.8939241170883179
1710889397176920600,0.881920654296875,2.138395071029663,9.542173385620117,0.7379578948020935
1710889397195880000,0.9008798828125,2.101900339126587,9.560816764831543,0.5858352184295654
1710889397214839600,0.919839599609375,2.07770037651062,9.573445320129395,0.45021286606788635
1710889397233799000,0.938798828125,2.0769338607788086,9.578510284423828,0.3299519419670105
1710889397252758300,0.95775830078125,2.102189779281616,9.57606315612793,0.22401636838912964
1710889397271717600,0.976717529296875,2.1456592082977295,9.568134307861328,0.13168276846408844
1710889397290677200,0.99567724609375,2.1823604106903076,9.560626029968262,0.046051159501075745
1710889397309636600,1.01463671875,2.1938915252685547,9.557945251464844,-0.05391838029026985
1710889397328596000,1.033595947265625,2.174595355987549,9.560980796813965,-0.17081552743911743
1710889397347555600,1.0525556640625,2.133420944213867,9.567440032958984,-0.2880955934524536
1710889397366515000,1.071514892578125,2.0847647190093994,9.574429512023926,-0.3929915130138397
1710889397385474300,1.090474365234375,2.029555082321167,9.582653999328613,-0.47332528233528137
1710889397404434000,1.109433837890625,1.9560455083847046,9.59416675567627,-0.54430091381073
1710889397423393300,1.128393310546875,1.8657289743423462,9.607027053833008,-0.62807297706604
1710889397442352600,1.1473525390625,1.7713470458984375,9.61678409576416,-0.7417346239089966
1710889397461312300,1.166312255859375,1.6779900789260864,9.622623443603516,-0.871694803237915
1710889397480271600,1.185271728515625,1.5902608633041382,9.62562370300293,-0.9943972229957581
1710889397499231000,1.20423095703125,1.5115854740142822,9.626715660095215,-1.100846290588379
1710889397518190600,1.223190673828125,1.449907660484314,9.624351501464844,-1.2000101804733276
1710889397537150000,1.24214990234375,1.4115220308303833,9.617908477783203,-1.2937678098678589
1710889397556109300,1.261109375,1.3971517086029053,9.607815742492676,-1.3813916444778442
1710889397575069000,1.28006884765625,1.4138339757919312,9.592792510986328,-1.4662154912948608
1710889397594028300,1.2990283203125,1.4579826593399048,9.574142456054688,-1.5428760051727295
1710889397612987600,1.317987548828125,1.5192768573760986,9.553686141967773,-1.6091156005859375
1710889397631947300,1.336947265625,1.5916842222213745,9.53231430053711,-1.6649049520492554
1710889397650906600,1.35590673828125,1.6736795902252197,9.510635375976562,-1.7079237699508667
1710889397669866000,1.374865966796875,1.7681357860565186,9.48676586151123,-1.745097041130066
1710889397688825600,1.39382568359375,1.8783704042434692,9.457524299621582,-1.7881100177764893
1710889397707785000,1.412784912109375,2.002941131591797,9.42209529876709,-1.8392181396484375
1710889397726744600,1.43174462890625,2.1451995372772217,9.378166198730469,-1.902237057685852
1710889397745704000,1.450703857421875,2.3051207065582275,9.323942184448242,-1.9801238775253296
1710889397764663300,1.469663330078125,2.4750635623931885,9.259124755859375,-2.076791763305664
1710889397783623000,1.488622802734375,2.6480162143707275,9.18392562866211,-2.1940600872039795
1710889397802582300,1.507582275390625,2.8162240982055664,9.098726272583008,-2.3350462913513184
1710889397821542000,1.5265419921875,2.974114179611206,9.000541687011719,-2.5130202770233154
1710889397840501200,1.545501220703125,3.1145412921905518,8.889521598815918,-2.7288143634796143
1710889397859460600,1.564460693359375,3.2245430946350098,8.77152156829834,-2.972055435180664
1710889397878420200,1.583420166015625,3.2958157062530518,8.649908065795898,-3.238374710083008
1710889397897379600,1.602379638671875,3.3552463054656982,8.524447441101074,-3.4995017051696777
1710889397916339000,1.6213388671875,3.4434783458709717,8.383238792419434,-3.7462196350097656
1710889397935298600,1.640298583984375,3.557624101638794,8.223539352416992,-3.985861301422119
1710889397954258000,1.6592578125,3.6672236919403076,8.059883117675781,-4.214277744293213
1710889397973217500,1.678217529296875,3.738830327987671,7.896434307098389,-4.4539713859558105
1710889397992177000,1.697177001953125,3.78882098197937,7.726377487182617,-4.703011989593506
1710889398011136500,1.716136474609375,3.8630402088165283,7.541165351867676,-4.937420845031738
1710889398030096000,1.735095947265625,3.9627089500427246,7.345656394958496,-5.148655414581299
1710889398049055500,1.754055419921875,4.075736999511719,7.144716739654541,-5.339641094207764
1710889398068014800,1.773014892578125,4.198464393615723,6.937407493591309,-5.515039443969727
1710889398086974500,1.791974365234375,4.3234782218933105,6.727385520935059,-5.676283836364746
1710889398105933800,1.810933837890625,4.437371253967285,6.52598237991333,-5.821656227111816
1710889398124893400,1.8298935546875,4.519405364990234,6.334670066833496,-5.968024253845215
1710889398143852800,1.848852783203125,4.5611162185668945,6.160918235778809,-6.116346836090088
1710889398162812400,1.8678125,4.583275318145752,6.0179548263549805,-6.240849494934082
1710889398181771800,1.886771728515625,4.622419834136963,5.900319576263428,-6.323753356933594
1710889398200731100,1.905731201171875,4.673618316650391,5.80299711227417,-6.375962734222412
1710889398219690800,1.924690673828125,4.73081636428833,5.724310874938965,-6.404844760894775
1710889398238650000,1.943650146484375,4.817805767059326,5.6523756980896,-6.403887748718262
1710889398257609700,1.962609619140625,4.948204040527344,5.581384181976318,-6.366617202758789
1710889398276569000,1.981569091796875,5.103248119354248,5.50028133392334,-6.314598560333252
1710889398295528700,2.00052880859375,5.245882034301758,5.405149459838867,-6.279766082763672
1710889398314488000,2.019488037109375,5.350618839263916,5.296342372894287,-6.284107685089111
1710889398333447700,2.03844775390625,5.434539318084717,5.1824469566345215,-6.307013511657715
1710889398352407000,2.057406982421875,5.533200740814209,5.071149826049805,-6.311697006225586
1710889398371366700,2.07636669921875,5.619969367980957,4.974905014038086,-6.311628341674805
1710889398390326000,2.095325927734375,5.685362815856934,4.878846645355225,-6.328024387359619
1710889398409285600,2.11428564453125,5.742583751678467,4.807662010192871,-6.330837249755859
1710889398428245000,2.133244873046875,5.822171211242676,4.762975692749023,-6.291802406311035
1710889398447204600,2.15220458984375,5.948505401611328,4.730857849121094,-6.197149276733398
1710889398466164000,2.1711640625,6.113829135894775,4.708835124969482,-6.051310062408447
1710889398485123600,2.19012353515625,6.313109397888184,4.662846088409424,-5.879872798919678
1710889398504083000,2.2090830078125,6.527085304260254,4.599368095397949,-5.693273544311523
1710889398523042600,2.22804248046875,6.694608211517334,4.5562286376953125,-5.531130313873291
1710889398542002200,2.247002197265625,6.813601493835449,4.552380084991455,-5.387119293212891
1710889398560961500,2.26596142578125,6.928864002227783,4.589436054229736,-5.20560359954834
1710889398579921200,2.284921142578125,7.042344093322754,4.665780544281006,-4.980589389801025
1710889398598880500,2.303880615234375,7.129422187805176,4.791749477386475,-4.730841159820557
1710889398617840000,2.322840087890625,7.188485145568848,4.959652900695801,-4.460709095001221
1710889398636799500,2.341799560546875,7.2615861892700195,5.145654678344727,-4.118494033813477
1710889398655759000,2.360759033203125,7.342809200286865,5.335820198059082,-3.712489128112793
1710889398674718500,2.379718505859375,7.400061130523682,5.520434379577637,-3.3067023754119873
1710889398693678000,2.398677978515625,7.418764591217041,5.701093673706055,-2.93766188621521
1710889398712637700,2.4176376953125,7.38803243637085,5.8947529792785645,-2.6151976585388184
1710889398731597000,2.43659716796875,7.309983730316162,6.1064605712890625,-2.3335938453674316
1710889398750556700,2.455556640625,7.199620246887207,6.329110622406006,-2.068384885787964
1710889398769516000,2.47451611328125,7.067034721374512,6.557548999786377,-1.7960952520370483
1710889398788475600,2.4934755859375,6.916180610656738,6.78570556640625,-1.5136133432388306
1710889398807435000,2.51243505859375,6.762874126434326,6.996763229370117,-1.2162342071533203
1710889398826394600,2.53139453125,6.614938259124756,7.1817779541015625,-0.9138105511665344
1710889398845354200,2.550354248046875,6.46889591217041,7.3443427085876465,-0.6200047731399536
1710889398864313600,2.569313720703125,6.319804668426514,7.49049186706543,-0.3506842255592346
1710889398883273200,2.588273193359375,6.162714004516602,7.627366065979004,-0.12097842991352081
1710889398902232800,2.60723291015625,5.998630046844482,7.757747173309326,0.06466103345155716
1710889398921192200,2.626192138671875,5.841712474822998,7.8736982345581055,0.22284100949764252
1710889398940151600,2.645151611328125,5.695423603057861,7.974263668060303,0.37903887033462524
1710889398959111200,2.664111083984375,5.562301158905029,8.059377670288086,0.5269067287445068
1710889398978070800,2.68307080078125,5.4428510665893555,8.132913589477539,0.6336113810539246
1710889398997030100,2.702030029296875,5.331295967102051,8.203107833862305,0.6758012175559998
1710889399015989800,2.72098974609375,5.229386806488037,8.268885612487793,0.6703806519508362
1710889399034949400,2.739949462890625,5.139649868011475,8.326644897460938,0.6491295099258423
1710889399053908700,2.75890869140625,5.060713291168213,8.376627922058105,0.6258369088172913
1710889399072868400,2.777868408203125,4.995467662811279,8.417234420776367,0.6048482060432434
1710889399091827700,2.79682763671875,4.951199054718018,8.445301055908203,0.5769891142845154
1710889399110787300,2.815787353515625,4.935822010040283,8.4562406539917,0.547752320766449
1710889399129747000,2.834746826171875,4.955020427703857,8.44544792175293,0.5408892035484314
1710889399148706300,2.853706298828125,5.019110202789307,8.405399322509766,0.5728721618652344
1710889399167666000,2.872666015625,5.129674434661865,8.332610130310059,0.6514739394187927
1710889399186625500,2.89162548828125,5.279426574707031,8.226790428161621,0.7861027717590332
1710889399205585000,2.9105849609375,5.463927268981934,8.085267066955566,0.9717721343040466
1710889399224544500,2.92954443359375,5.675083637237549,7.908774375915527,1.1895859241485596
1710889399243503900,2.94850390625,5.877849578857422,7.719014644622803,1.4276139736175537
1710889399262463500,2.96746337890625,6.037529468536377,7.544361591339111,1.6736897230148315
1710889399281423000,2.986423095703125,6.175224781036377,7.376374244689941,1.904226541519165
1710889399300382500,3.005382568359375,6.320064067840576,7.189526557922363,2.130232334136963
1710889399319342000,3.024342041015625,6.454258441925049,6.998399257659912,2.3527307510375977
1710889399338301400,3.043301513671875,6.574289798736572,6.819141864776611,2.5393710136413574
1710889399357261000,3.062260986328125,6.681949138641357,6.653507709503174,2.693096876144409
1710889399376220700,3.081220703125,6.768832683563232,6.510746479034424,2.8219642639160156
1710889399395180000,3.100179931640625,6.84183406829834,6.3908562660217285,2.918330430984497
1710889399414139600,3.1191396484375,6.905091285705566,6.286578178405762,2.9948322772979736
1710889399433099300,3.138099365234375,6.960261344909668,6.1923508644104,3.062666177749634
1710889399452058600,3.15705859375,7.003339767456055,6.1079888343811035,3.1330626010894775
1710889399471018200,3.176018310546875,7.038383960723877,6.031285285949707,3.202363967895508
1710889399489977900,3.194977783203125,7.070128440856934,5.955897808074951,3.272759437561035
1710889399508937200,3.213937255859375,7.100957870483398,5.880537033081055,3.341566324234009
1710889399527896800,3.232896728515625,7.133621692657471,5.819987773895264,3.377804756164551
1710889399546856400,3.2518564453125,7.166534900665283,5.790205001831055,3.359269857406616
1710889399565816000,3.270816162109375,7.2026686668396,5.780494213104248,3.2981581687927246
1710889399584775400,3.289775390625,7.238013744354248,5.779277324676514,3.2220354080200195
1710889399603734800,3.30873486328125,7.276142597198486,5.771112442016602,3.149984359741211
1710889399622694400,3.3276943359375,7.322977542877197,5.747277736663818,3.0843446254730225
1710889399641654000,3.346654052734375,7.380521297454834,5.716735363006592,3.002868890762329
1710889399660613600,3.365613525390625,7.451982498168945,5.686647891998291,2.8810362815856934
1710889399679573000,3.384572998046875,7.531323432922363,5.665330410003662,2.711747169494629
1710889399698532600,3.40353271484375,7.608463764190674,5.656932830810547,2.506148099899292
1710889399717492000,3.422491943359375,7.674424648284912,5.660696506500244,2.286942958831787
1710889399736451600,3.44145166015625,7.729949951171875,5.665056228637695,2.079756736755371
1710889399755411200,3.4604111328125,7.780942916870117,5.6565752029418945,1.9053819179534912
1710889399774370800,3.479370849609375,7.827582359313965,5.640408515930176,1.756457805633545
1710889399793330200,3.498330078125,7.871114253997803,5.6199517250061035,1.6223732233047485
1710889399812289800,3.517289794921875,7.917171955108643,5.588380336761475,1.502919316291809
1710889399831249200,3.536249267578125,7.965463161468506,5.549654006958008,1.3867710828781128
1710889399850208800,3.555208740234375,8.008763313293457,5.517654895782471,1.259196162223816
1710889399869168400,3.57416845703125,8.04499626159668,5.49892520904541,1.1001102924346924
1710889399888128000,3.5931279296875,8.081063270568848,5.480997562408447,0.9085508584976196
1710889399907087400,3.61208740234375,8.111202239990234,5.467392444610596,0.6974194049835205
1710889399926047000,3.631046875,8.12909984588623,5.464212417602539,0.48009127378463745
1710889399945006300,3.65000634765625,8.137199401855469,5.466698169708252,0.26756665110588074
1710889399963966000,3.668966064453125,8.139749526977539,5.468981742858887,0.07144321501255035
1710889399982925600,3.687925537109375,8.140385627746582,5.4677815437316895,-0.08867769688367844
1710889400001885200,3.70688525390625,8.145750999450684,5.45693302154541,-0.1974639743566513
1710889400020844500,3.725844482421875,8.161779403686523,5.429198741912842,-0.2820571959018707
1710889400039804200,3.74480419921875,8.183483123779297,5.389535903930664,-0.39229461550712585
1710889400058763800,3.763763671875,8.213342666625977,5.329710006713867,-0.5528064966201782
1710889400077723100,3.78272314453125,8.249396324157715,5.251319408416748,-0.7358701229095459
1710889400096682800,3.801682861328125,8.294732093811035,5.157625198364258,-0.8756297826766968
1710889400115642400,3.820642333984375,8.35246467590332,5.045616626739502,-0.973895251750946
1710889400134602000,3.83960205078125,8.413174629211426,4.922630786895752,-1.0754505395889282
1710889400153561300,3.858561279296875,8.483025550842285,4.775371551513672,-1.1851106882095337
1710889400172521000,3.87752099609375,8.554038047790527,4.612486839294434,-1.3129267692565918
1710889400191480300,3.896480224609375,8.615015983581543,4.454075336456299,-1.4536489248275757
1710889400210440000,3.91543994140625,8.670226097106934,4.300118446350098,-1.583209753036499
1710889400229399600,3.934399658203125,8.71347427368164,4.162567615509033,-1.7084447145462036
1710889400248359200,3.953359130859375,8.73339557647705,4.050995826721191,-1.867516040802002
1710889400267318500,3.972318603515625,8.720340728759766,3.980875253677368,-2.0684964656829834
1710889400286278100,3.991278076171875,8.697340965270996,3.923319101333618,-2.2658801078796387
1710889400305237500,4.010237548828125,8.674728393554688,3.884881019592285,-2.4139552116394043
1710889400324197000,4.029197021484375,8.661523818969727,3.8474631309509277,-2.519012451171875
1710889400343156700,4.04815673828125,8.649307250976562,3.8055624961853027,-2.6225123405456543
1710889400362116400,4.067116455078125,8.638230323791504,3.7571353912353516,-2.726771831512451
1710889400381075700,4.08607568359375,8.619011878967285,3.711836099624634,-2.8469784259796143
1710889400400035300,4.105035400390625,8.59300422668457,3.6742279529571533,-2.971651315689087
1710889400418995000,4.123994873046875,8.572921752929688,3.6277408599853516,-3.084623336791992
1710889400437954300,4.142954345703125,8.575539588928223,3.568816900253296,-3.1454830169677734
1710889400456914000,4.161913818359375,8.592175483703613,3.512944221496582,-3.162930727005005
1710889400475873500,4.18087353515625,8.6065034866333,3.472679376602173,-3.16843581199646
1710889400494833000,4.1998330078125,8.617532730102539,3.449157476425171,-3.16414737701416
1710889400513792500,4.21879248046875,8.622088432312012,3.4355032444000244,-3.1665894985198975
1710889400532752100,4.237752197265625,8.605070114135742,3.433579683303833,-3.214604377746582
1710889400551711700,4.256711669921875,8.562450408935547,3.455272912979126,-3.303924798965454
1710889400570671000,4.275671142578125,8.484038352966309,3.5375897884368896,-3.41715407371521
1710889400589630700,4.294630615234375,8.354639053344727,3.6930909156799316,-3.5681183338165283
1710889400608590300,4.31359033203125,8.157132148742676,3.909335136413574,-3.78796648979187
1710889400627549700,4.3325498046875,7.922888278961182,4.150942325592041,-4.020932197570801
1710889400646509300,4.35150927734375,7.718332290649414,4.400876522064209,-4.150906085968018
1710889400665469000,4.370468994140625,7.577132225036621,4.673395156860352,-4.113007545471191
1710889400684428300,4.38942822265625,7.4184136390686035,4.996098518371582,-4.022006511688232
1710889400703388000,4.408387939453125,7.1772685050964355,5.370978832244873,-3.976151943206787
1710889400722347500,4.427347412109375,6.839086055755615,5.770076274871826,-4.012917995452881
1710889400741307000,4.446306884765625,6.404927730560303,6.2072367668151855,-4.076457977294922
1710889400760266500,4.4652666015625,5.928160667419434,6.654877185821533,-4.091442584991455
1710889400779226000,4.48422607421875,5.489771366119385,7.099454879760742,-3.9535465240478516
1710889400798185700,4.503185791015625,5.188779354095459,7.478217601776123,-3.650097131729126
1710889400817145000,4.52214501953125,4.991193771362305,7.8105082511901855,-3.202237844467163
1710889400836104700,4.541104736328125,4.793726921081543,8.118892669677734,-2.6970632076263428
1710889400855064300,4.560064208984375,4.59556245803833,8.387385368347168,-2.168630838394165
1710889400874023700,4.579023681640625,4.483137607574463,8.557099342346191,-1.6875736713409424
1710889400892983300,4.5979833984375,4.465285301208496,8.637750625610352,-1.2731355428695679
1710889400911943000,4.61694287109375,4.500607967376709,8.663211822509766,-0.9293426871299744
1710889400930902300,4.63590234375,4.544985771179199,8.668974876403809,-0.601965069770813
1710889400949862000,4.65486181640625,4.646704196929932,8.629990577697754,-0.31906262040138245
1710889400968821500,4.673821533203125,4.815832138061523,8.541849136352539,-0.12235561013221741
1710889400987780900,4.69278076171875,5.037967205047607,8.413576126098633,0.03199727460741997
1710889401006740500,4.711740478515625,5.311633110046387,8.241683006286621,0.17777161300182343
1710889401025700000,4.7307001953125,5.580281734466553,8.058426856994629,0.304308146238327
1710889401044659700,4.74965966796875,5.822445392608643,7.881271839141846,0.3938049376010895
1710889401063619000,4.768619140625,6.040722846984863,7.713049411773682,0.4346430003643036
1710889401082578700,4.78757861328125,6.240494251251221,7.550202369689941,0.47016504406929016
1710889401101538300,4.806538330078125,6.404840469360352,7.4070563316345215,0.5328415036201477
1710889401120498000,4.825497802734375,6.534554958343506,7.285001277923584,0.6314549446105957
1710889401139457300,4.844457275390625,6.634798049926758,7.181380271911621,0.7600043416023254
