
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-415,-357,-117,-27.5,accel_data
Y,-424,-389,-116,-52,accel_data
X,-414,-311,-95,-55,accel_data
Relative Altitude,-48,-39,-4,-7.5,bar_data
Pressure,-53,-39,-3,-7.5,bar_data
Z,-200,-132,-25,-11.5,gyro_data
Y,-334,-257,-85,-16,gyro_data
X,-242,-151,-39,-23,gyro_data
Z,-92,-19,-4,10.5,grav_data
Y,-31,0,10,4,grav_data
X,-73,-72,-6,7,grav_data
qz,-39,-38,1,5,orient_data
qy,-95,-30,-5,18,orient_data
qx,-38,-1,7,3.5,orient_data
qw,-87,-85,-7,14.5,orient_data
roll,-102,-16,-4,18,orient_data
pitch,-33,-33,7,3.5,orient_data
yaw,-95,-6,-1,19.5,orient_data
