time,seconds_elapsed,relativeAltitude,pressure
1711508948216154000,0.215154052734375,0,881.2081909179688
1711508948256158700,0.25515869140625,-0.0079345703125,881.2089233398438
1711508948296156200,0.29515625,-0.1295166015625,881.2218627929688
1711508948336159200,0.3351591796875,-0.2431640625,881.2340698242188
1711508948376155400,0.3751552734375,-0.343505859375,881.2450561523438
1711508948416163000,0.4151630859375,-0.6632080078125,881.2792358398438
1711508948456161500,0.45516162109375,-1.1256103515625,881.3287963867188
1711508948496165400,0.495165283203125,-1.6383056640625,881.3839721679688
1711508948536188400,0.5351884765625,-2.2169189453125,881.4459838867188
1711508948576163600,0.57516357421875,-2.7506103515625,881.5031127929688
1711508948616161500,0.61516162109375,-3.136474609375,881.5446166992188
1711508948656164000,0.6551640625,-3.4085693359375,881.5736694335938
1711508948696165400,0.695165283203125,-3.458740234375,881.5792846679688
1711508948736162800,0.735162841796875,-2.9329833984375,881.5226440429688
1711508948776163000,0.7751630859375,-2.206298828125,881.4447631835938
1711508948816165000,0.8151650390625,-1.537841796875,881.3729858398438
1711508948856148200,0.855148193359375,-1.1573486328125,881.3322143554688
1711508948896170500,0.89517041015625,-0.9962158203125,881.3148803710938
1711508948936163600,0.93516357421875,-0.9036865234375,881.3051147460938
1711508948976163000,0.9751630859375,-0.9195556640625,881.3065795898438
1711508949016161500,1.01516162109375,-1.0675048828125,881.3226928710938
1711508949056169200,1.055169189453125,-1.1573486328125,881.3322143554688
1711508949096168400,1.09516845703125,-1.2578125,881.3429565429688
1711508949136166000,1.135165771484375,-1.2841796875,881.3458862304688
1711508949176154000,1.175154052734375,-1.281494140625,881.3453979492188
1711508949216164000,1.2151640625,-1.1943359375,881.3361206054688
1711508949256304400,1.255304443359375,-1.07275390625,881.3231811523438
1711508949296163600,1.29516357421875,-1.0357666015625,881.3192749023438
1711508949336154000,1.335154052734375,-0.9671630859375,881.3117065429688
1711508949376163600,1.37516357421875,-0.8905029296875,881.3036499023438
1711508949416160300,1.41516015625,-0.837646484375,881.2980346679688
1711508949456163800,1.455163818359375,-0.7081298828125,881.2841186523438
1711508949496154400,1.495154296875,-0.5496826171875,881.2670288085938
1711508949536164400,1.535164306640625,-0.4228515625,881.2533569335938
1711508949576157000,1.575156982421875,-0.2774658203125,881.2377319335938
1711508949616159000,1.615158935546875,-0.0845947265625,881.2172241210938
1711508949656154000,1.655154052734375,0.1822509765625,881.1886596679688
1711508949696159000,1.695158935546875,0.5230712890625,881.1520385742188
1711508949736154000,1.735154052734375,0.8349609375,881.1185913085938
1711508949776159700,1.77515966796875,1.0489501953125,881.0956420898438
1711508949816159000,1.815158935546875,1.2418212890625,881.0748901367188
1711508949856163000,1.8551630859375,1.2100830078125,881.0783081054688
1711508949896154000,1.895154052734375,1.0462646484375,881.0958862304688
1711508949936163300,1.935163330078125,0.8057861328125,881.1215209960938
1711508949976163000,1.9751630859375,0.5733642578125,881.1466674804688
1711508950016161500,2.01516162109375,0.441162109375,881.1605834960938
1711508950056155600,2.05515576171875,0.0501708984375,881.2025756835938
1711508950096163300,2.095163330078125,-0.5576171875,881.2680053710938
1711508950136165600,2.13516552734375,-1.1282958984375,881.3290405273438
1711508950176159500,2.175159423828125,-1.52734375,881.3720092773438
1711508950216154400,2.215154296875,-1.6964111328125,881.3900756835938
1711508950256158700,2.25515869140625,-1.6383056640625,881.3839721679688
1711508950296156700,2.29515673828125,-1.434814453125,881.3619995117188
1711508950336163000,2.3351630859375,-1.1494140625,881.3314819335938
1711508950376159200,2.3751591796875,-0.9248046875,881.3073120117188
1711508950416162600,2.41516259765625,-0.7557373046875,881.2892456054688
1711508950456154400,2.455154296875,-0.7108154296875,881.2843627929688
1711508950496163800,2.495163818359375,-0.716064453125,881.2848510742188
1711508950536173800,2.535173828125,-0.7266845703125,881.2860717773438
1711508950576163000,2.5751630859375,-0.763671875,881.2899780273438
1711508950616154400,2.615154296875,-0.5946044921875,881.2719116210938
1711508950656168000,2.65516796875,-0.4254150390625,881.2536010742188
1711508950696165000,2.6951650390625,-0.3223876953125,881.2426147460938
1711508950736163300,2.735163330078125,-0.134765625,881.2225952148438
1711508950776154000,2.775154052734375,0.03955078125,881.2037963867188
1711508950816159700,2.81515966796875,0.0528564453125,881.2023315429688
1711508950856146200,2.855146240234375,0.087158203125,881.1986694335938
1711508950896159000,2.895158935546875,0.05810546875,881.2018432617188
1711508950936154400,2.935154296875,-0.1480712890625,881.2238159179688
1711508950976163800,2.975163818359375,-0.224609375,881.2321166992188
1711508951016161500,3.01516162109375,-0.208740234375,881.2304077148438
1711508951056168400,3.05516845703125,-0.1876220703125,881.2282104492188
1711508951096168400,3.09516845703125,-0.05029296875,881.2133178710938
1711508951136168700,3.135168701171875,0.113525390625,881.1957397460938
1711508951176163000,3.1751630859375,0.2139892578125,881.1849975585938
1711508951216165600,3.21516552734375,0.1531982421875,881.1915893554688
1711508951256169700,3.255169677734375,0.1822509765625,881.1886596679688
1711508951296162300,3.295162353515625,0.2271728515625,881.1835327148438
1711508951336162600,3.33516259765625,0.2694091796875,881.1791381835938
1711508951376167000,3.3751669921875,0.2403564453125,881.1823120117188
1711508951416166000,3.415165771484375,0.266845703125,881.1793823242188
1711508951456171000,3.4551708984375,0.19287109375,881.1874389648438
1711508951496164600,3.49516455078125,0.1981201171875,881.1869506835938
1711508951536168400,3.53516845703125,0.208740234375,881.1857299804688
1711508951576161800,3.575161865234375,0.0660400390625,881.2008666992188
1711508951616176000,3.615176025390625,-0.0079345703125,881.2089233398438
