
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-84,-67,96,55,accel_data
Y,-7,-3,105,32.5,accel_data
X,-106,-96,96,77.5,accel_data
Relative Altitude,27,53,123,112.5,bar_data
Pressure,16,26,120,112,bar_data
Z,-94,3,99,100,gyro_data
Y,-147,-24,95,54.5,gyro_data
X,70,86,156,99,gyro_data
Z,96,99,168,105,grav_data
Y,55,66,153,110.25,grav_data
X,-2,28,134,125.75,grav_data
qz,27,86,139,154.5,orient_data
qy,48,104,165,148.5,orient_data
qx,30,125,178,163.25,orient_data
qw,23,109,176,167.75,orient_data
roll,75,78,158,125.5,orient_data
pitch,54,87,150,108.75,orient_data
yaw,31,84,152,130,orient_data
