time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1711553562634000000,0.198999755859375,45,1.5,1.1164191961288452,12.282999992370605,0,0,1099.0999755859375,-114.1339513,51.0778193
1711553567803000000,5.368,0,1.5,1.1527806520462036,13.33899974822998,0.01970081590116024,0,1099,-114.1339527,51.0778184
1711553570973335000,8.5383349609375,45,1.5,1.1469677686691284,30.606000900268555,0.14097769558429718,203.3632354736328,1099,-114.1339574,51.077811
1711553571109089300,8.67408935546875,45,1.5,1.1469677686691284,36.36600112915039,0.21724076569080353,202.10726928710938,1099,-114.13396,51.0778064
1711553571450150400,9.015150390625,45,1.5,1.1469677686691284,39.28200149536133,0.27005964517593384,201.6041259765625,1099,-114.1339622,51.0778027
1711553571812160800,9.377160888671876,45,0.4591040015220642,1.1469677686691284,40.99399948120117,2.596086025238037,92.40985107421875,1099,-114.133862,51.0778039
1711553571938448600,9.50344873046875,45,0.4591040015220642,1.1528253555297852,42.143001556396484,2.6283459663391113,91.7576675415039,1099,-114.1338667,51.077803
1711553572171281000,9.736281005859375,45,0.4881943464279175,1.1528253555297852,42.97200012207031,2.639235258102417,91.01827239990234,1099,-114.1338695,51.0778023
1711553572512322300,10.077322265625,45,0.4881943464279175,1.1528253555297852,43.62099838256836,2.645613670349121,90.4430923461914,1099,-114.1338667,51.0778014
1711553572869715700,10.4347158203125,45,0.305283784866333,1.1528253555297852,48.117000579833984,2.6634511947631836,92.05855560302734,1099,-114.1338628,51.0777988
1711553572962309400,10.527309326171874,45,0.305283784866333,1.1696586608886719,48.25899887084961,2.6735692024230957,92.75837707519531,1099,-114.1338675,51.0777972
1711553573230004500,10.79500439453125,45,0.3381153643131256,1.1696586608886719,48.40399932861328,2.68277645111084,93.00106048583984,1099,-114.1338659,51.0777959
1711553573592140300,11.157140380859374,45,0.3381153643131256,1.1696586608886719,48.5629997253418,2.689706325531006,92.4249496459961,1099,-114.1338605,51.077795
1711553573971613000,11.536613037109374,45,0.2814997434616089,1.1696586608886719,48.78900146484375,2.6558125019073486,91.0534896850586,1099,-114.1338543,51.0777944
1711553574352765000,11.917764892578125,45,0.31243690848350525,1.1892870664596558,49.027000427246094,2.6377570629119873,89.38834381103516,1099,-114.1338484,51.0777941
1711553574710780200,12.2757802734375,45,0.31243690848350525,1.1892870664596558,49.27799987792969,2.6266775131225586,87.66278839111328,1099,-114.1338436,51.0777941
1711553574896270800,12.461270751953125,45,0.26274144649505615,1.1986361742019653,49.512001037597656,2.5779783725738525,85.90704345703125,1099,-114.1338411,51.0777941
1711553575092091100,12.657091064453125,45,0.26274144649505615,1.1986361742019653,49.742000579833984,2.5633363723754883,84.60026550292969,1099,-114.1338435,51.0777938
1711553575123796200,12.688796142578125,45,0.26274144649505615,1.1339229345321655,49.94900131225586,2.578895330429077,78.29142761230469,1099,-114.1339375,51.0777796
1711553575488033300,13.053033203125,45,0.27078285813331604,1.1339229345321655,47.88999938964844,2.619351387023926,61.64049530029297,1099,-114.1336972,51.077893
1711553575951130400,13.51613037109375,45,0.23615662753582,1.1339229345321655,46.07500076293945,2.5720884799957275,56.49348068237305,1099,-114.133683,51.077896
1711553575973600300,13.538600341796876,45,0.23612172901630402,1.1557167768478394,44.262001037597656,2.5515379905700684,54.626827239990234,1099,-114.1336832,51.077895
1711553576406033700,13.97103369140625,45,0.2802605628967285,1.1557167768478394,42.5,2.6596059799194336,45.540462493896484,1099,-114.1336733,51.0779005
1711553576973256400,14.53825634765625,45,0.25757429003715515,1.1525354385375977,40.37300109863281,2.1425020694732666,27.45619773864746,1099,-114.133667,51.077907
1711553580243126500,17.80812646484375,45,0.3885013461112976,1.1379013061523438,36.20399856567383,1.335464596748352,180.05209350585938,1099,-114.1336767,51.0778958
1711553581991856000,19.556856201171875,45,0.26594632863998413,1.1666394472122192,12.22599983215332,1.173763394355774,189.45811462402344,1099,-114.1336945,51.0778489
1711553582859680300,20.42468017578125,45,0.2902332842350006,1.1576855182647705,11.104000091552734,1.1633857488632202,177.3321075439453,1099,-114.133702,51.0778397
1711553583772128300,21.337128173828123,45,0.2975532114505768,1.1576855182647705,11.590999603271484,1.224256992340088,173.5435028076172,1099,-114.1337035,51.0778315
1711553583883547600,21.448547607421876,45,0.2975532114505768,1.1673880815505981,11.871999740600586,1.2294036149978638,177.1625213623047,1099,-114.1337045,51.0778298
