time,seconds_elapsed,steps
1711553558054256600,-4.380743408203125,0
1711553569036803600,6.601803466796875,6
1711553569472725000,7.03772509765625,7
1711553569738155800,7.30315576171875,8
1711553570174225000,7.739224853515625,9
1711553570382638300,7.947638427734375,10
1711553570838507300,8.40350732421875,11
1711553571122675200,8.68767529296875,12
1711553571539973400,9.104973388671874,13
1711553571824120600,9.38912060546875,14
1711553572260258800,9.8252587890625,15
1711553572544650200,10.109650146484375,16
1711553572961822000,10.526822021484374,17
1711553573284025900,10.84902587890625,18
1711553573720687400,11.285687255859376,19
1711553574023789600,11.58878955078125,20
1711553574441245400,12.006245361328125,21
1711553574801509600,12.366509521484375,22
1711553575257684500,12.8226845703125,23
1711553575749815600,13.314815673828125,24
1711553576166172200,13.731172119140625,25
1711553582498970400,20.063970458984375,31
1711553582820493300,20.385493408203125,32
1711553583105918700,20.670918701171875,33
1711553583863564500,21.428564453125,34
