
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-351,-285,-106,-97.5,accel_data
Y,-347,-286,-99,-82.5,accel_data
X,-365,-302,-117,-100.5,accel_data
Relative Altitude,-53,-42,-7,-12,bar_data
Pressure,-78,-47,-13,-12,bar_data
Z,-314,-225,-70,-19.5,gyro_data
Y,-369,-267,-95,-67,gyro_data
X,-254,-154,-50,-9,gyro_data
Z,-83,-49,-11,4.75,grav_data
Y,-79,-17,1,8.25,grav_data
X,-194,-94,-16,7.75,grav_data
qz,-100,-46,-8,-17.5,orient_data
qy,-112,-65,-17,-1.5,orient_data
qx,-148,-72,-7,-2.75,orient_data
qw,-215,-16,2,10.25,orient_data
roll,-133,-39,-6,9,orient_data
pitch,-74,-60,-7,7.25,orient_data
yaw,-156,-102,-28,8,orient_data
