time,seconds_elapsed,steps
1710888554595628300,-28.781371826171874,0
1710888591941012200,8.56401220703125,6
1710888592357368800,8.980368896484375,7
1710888592717569000,9.340569091796874,8
1710888593115385000,9.738385009765626,9
1710888593495588000,10.118588134765625,10
1710888593892558600,10.51555859375,11
1710888594291583500,10.91458349609375,12
1710888594690752500,11.31375244140625,13
1710888595087493600,11.71049365234375,14
1710888595523608600,12.146608642578125,15
1710888595902208500,12.52520849609375,16
1710888596281304000,12.904303955078126,17
1710888596681137400,13.304137451171876,18
1710888597078334700,13.701334716796875,19
1710888597476642300,14.099642333984375,20
1710888597893983500,14.5169833984375,21
1710888598273004300,14.89600439453125,22
1710888598671103000,15.29410302734375,23
1710888599070326800,15.693326904296875,24
1710888599505043200,16.128043212890624,25
1710888599864901000,16.487901123046875,26
1710888600263063800,16.886063720703124,27
1710888600660803000,17.283802978515624,28
1710888601098084400,17.72108447265625,29
1710888601457842000,18.080842041015625,30
1710888601874145500,18.4971455078125,31
1710888602273567700,18.896567626953125,32
1710888602671313000,19.29431298828125,33
1710888603070751200,19.693751220703124,34
1710888603476379000,20.09937890625,35
1710888603846721800,20.4697216796875,36
1710888604225977900,20.848977783203125,37
1710888604624301800,21.2473017578125,38
1710888605022208500,21.64520849609375,39
1710888605421154000,22.044154052734374,40
1710888605819220200,22.44222021484375,41
1710888606216457000,22.83945703125,42
1710888606633922600,23.256922607421874,43
1710888607032165400,23.655165283203125,44
1710888607450382300,24.07338232421875,45
1710888607828280300,24.4512802734375,46
1710888608226377500,24.84937744140625,47
1710888608624537300,25.247537353515625,48
1710888609022173700,25.645173583984374,49
1710888609401858600,26.024858642578124,50
1710888609781332000,26.40433203125,51
1710888610180685600,26.803685546875,52
1710888610577369000,27.200369140625,53
1710888610956667600,27.579667724609376,54
1710888611374002400,27.99700244140625,55
1710888611753096000,28.376095947265625,56
1710888612121828000,28.744828125,57
1710888612531117300,29.154117431640625,58
1710888612947332600,29.57033251953125,59
1710888613326246100,29.94924609375,60
1710888613756881000,30.379880859375,61
1710888614117035000,30.740034912109376,62
1710888614496232200,31.119232177734375,63
1710888614876218000,31.499218017578126,64
1710888615274028000,31.897028076171875,65
1710888615690960600,32.31396069335938,66
1710888616090070800,32.71307080078125,67
1710888616469342000,33.09234204101563,68
1710888616866211600,33.48921166992187,69
1710888617264406500,33.88740649414063,70
1710888617662587100,34.28558715820313,71
1710888618041932000,34.66493212890625,72
1710888618420930800,35.04393090820312,73
1710888618839230700,35.46223071289062,74
1710888619255156700,35.87815673828125,75
1710888619634439000,36.25743896484375,76
1710888620032533800,36.65553369140625,77
1710888620450115300,37.073115234375,78
1710888620810078700,37.43307861328125,79
1710888621209177600,37.83217749023437,80
1710888621606053400,38.22905346679688,81
1710888622004980700,38.627980712890626,82
1710888622595507700,39.2185078125,83
1710888622801148200,39.42414819335937,84
1710888623198655000,39.82165502929688,85
1710888623578436000,40.20143603515625,86
1710888623994684700,40.6176845703125,87
1710888624374221300,40.99722119140625,88
1710888624772590000,41.395590087890625,89
1710888625170765300,41.79376538085938,90
1710888625588856000,42.21185595703125,91
1710888625985687600,42.6086875,92
1710888626402834000,43.025833984375,93
1710888626782994200,43.405994140625,94
1710888627180419800,43.803419921875,95
1710888627618712300,44.24171240234375,96
1710888627957532000,44.580531982421874,97
1710888628375468500,44.99846850585938,98
1710888628793015600,45.416015625,99
1710888629154804000,45.77780395507813,100
1710888629550190000,46.17319018554687,101
1710888629948337000,46.5713369140625,102
1710888630346705200,46.969705078125,103
1710888630725817300,47.3488173828125,104
1710888631162963700,47.785963623046875,105
1710888631541708500,48.16470849609375,106
1710888631939040800,48.56204077148438,107
1710888632299261200,48.92226123046875,108
1710888632716419800,49.339419921875,109
1710888633076596200,49.69959619140625,110
1710888633493970000,50.116969970703124,111
1710888633873536300,50.496536376953124,112
1710888634252637400,50.875637451171876,113
1710888634669149700,51.29214965820312,114
1710888635048347600,51.67134765625,115
1710888635446528000,52.06952807617188,116
1710888635826041600,52.44904150390625,117
1710888636242828500,52.86582861328125,118
1710888636659980800,53.28298071289063,119
1710888637039101200,53.66210107421875,120
1710888637664323800,54.28732373046875,121
1710888637835424800,54.4584248046875,122
1710888638233877500,54.85687744140625,123
1710888638613077000,55.23607690429687,124
1710888639011837400,55.63483740234375,125
1710888639409048800,56.032048828125,126
1710888639826139100,56.44913916015625,127
1710888640186421000,56.8094208984375,128
1710888640603768000,57.22676806640625,129
1710888640982896000,57.60589624023437,130
1710888641401104400,58.0241044921875,131
1710888641761297000,58.384296875,132
1710888642177098200,58.80009814453125,133
1710888642684742100,59.3077421875,134
1710888642935743200,59.5587431640625,135
1710888643333907700,59.95690771484375,136
1710888643769663700,60.392663818359374,137
1710888644130121200,60.753121337890626,138
1710888644528036400,61.15103637695312,139
1710888644926421200,61.549421142578126,140
1710888645305607200,61.92860717773438,141
1710888645723654100,62.34665405273437,142
1710888646102971600,62.7259716796875,143
1710888646499810000,63.12281005859375,144
1710888646878996200,63.501996337890624,145
1710888647277868800,63.900868896484376,146
1710888647675612000,64.29861181640625,147
1710888648073735000,64.69673486328125,148
1710888648434323200,65.0573232421875,149
1710888648833448400,65.45644848632813,150
1710888649248965600,65.87196557617187,151
1710888649609218600,66.23221850585938,152
1710888650026490400,66.64949047851563,153
1710888650424657200,67.0476572265625,154
1710888650842876000,67.4658759765625,155
1710888651220682800,67.84368286132812,156
1710888651656766200,68.27976611328126,157
1710888652035720200,68.65872021484375,158
1710888652433852000,69.05685180664062,159
1710888652812965600,69.43596557617188,160
