
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-309,-256,-93,-82,accel_data
Y,-316,-253,-92,-53,accel_data
X,-332,-263,-95,-68.5,accel_data
Relative Altitude,-50,-29,-7,-7,bar_data
Pressure,-81,-61,-21,-7,bar_data
Z,-274,-188,-56,-24.5,gyro_data
Y,-308,-230,-66,-56,gyro_data
X,-261,-179,-58,-33.5,gyro_data
Z,-105,-83,-20,-8.5,grav_data
Y,-75,-23,-4,-2.25,grav_data
X,-88,-22,-3,-7.25,grav_data
qz,-104,-36,-9,-7.5,orient_data
qy,-91,-59,-15,-7.5,orient_data
qx,-109,-61,-15,2.5,orient_data
qw,-99,-24,-6,-8.25,orient_data
roll,-142,-59,-16,-7,orient_data
pitch,-74,-54,-14,-2.75,orient_data
yaw,-108,-28,-6,5,orient_data
