time,seconds_elapsed,relativeAltitude,pressure
1710890701909304800,0.221304931640625,0,891.9833374023438
1710890701949287700,0.26128759765625,-0.26416015625,892.0119018554688
1710890701989283600,0.30128369140625,-0.1849365234375,892.0033569335938
1710890702029293300,0.341293212890625,-0.158447265625,892.0004272460938
1710890702069283600,0.38128369140625,-0.12939453125,891.9972534179688
1710890702109283600,0.42128369140625,-0.3592529296875,892.0221557617188
1710890702149283600,0.46128369140625,-0.6922607421875,892.0582885742188
1710890702189285400,0.501285400390625,-0.9722900390625,892.0885620117188
1710890702229307100,0.54130712890625,-1.0859375,892.1007690429688
1710890702269283600,0.58128369140625,-1.2708740234375,892.1207885742188
1710890702309284900,0.621284912109375,-1.365966796875,892.1312866210938
1710890702349283300,0.661283447265625,-1.4056396484375,892.1354370117188
1710890702389293300,0.701293212890625,-1.23388671875,892.1168823242188
1710890702429284600,0.74128466796875,-0.832275390625,892.0734252929688
1710890702469283800,0.781283935546875,-0.3592529296875,892.0221557617188
1710890702509284900,0.821284912109375,-0.015869140625,891.9850463867188
1710890702549284900,0.861284912109375,0.401611328125,891.9396362304688
1710890702589307100,0.90130712890625,0.837646484375,891.8925170898438
1710890702629284900,0.941284912109375,1.4532470703125,891.8258666992188
1710890702669283600,0.98128369140625,1.9580078125,891.7711791992188
1710890702709284600,1.02128466796875,2.327880859375,891.7311401367188
1710890702749450200,1.0614501953125,2.5418701171875,891.7079467773438
1710890702789291800,1.101291748046875,1.86279296875,891.7814331054688
1710890702829283300,1.141283447265625,1.582763671875,891.8117065429688
1710890702869285000,1.18128515625,1.479736328125,891.8229370117188
1710890702909285600,1.22128564453125,1.2392578125,891.8490600585938
1710890702949292800,1.261292724609375,0.9512939453125,891.8803100585938
1710890702989283600,1.30128369140625,0.6976318359375,891.9076538085938
1710890703029286100,1.3412861328125,0.59716796875,891.9186401367188
1710890703069283300,1.381283447265625,0.4888916015625,891.9301147460938
1710890703109340700,1.421340576171875,0.46240234375,891.9330444335938
1710890703149291800,1.461291748046875,0.446533203125,891.9347534179688
1710890703189290500,1.50129052734375,0.2933349609375,891.9513549804688
1710890703229290800,1.541290771484375,0.09521484375,891.9728393554688
1710890703269290500,1.58129052734375,-0.163818359375,892.0009155273438
1710890703309293800,1.6212939453125,-0.3619384765625,892.0223999023438
1710890703349323300,1.6613232421875,-0.5654296875,892.0446166992188
1710890703389290800,1.701290771484375,-0.787353515625,892.0685424804688
1710890703429291000,1.741291015625,-1.0330810546875,892.0951538085938
1710890703469291500,1.78129150390625,-1.2603759765625,892.1198120117188
1710890703509306000,1.82130615234375,-1.6116943359375,892.1578979492188
1710890703549290500,1.86129052734375,-2.475830078125,892.2514038085938
1710890703589291000,1.901291015625,-3.6092529296875,892.3742065429688
1710890703629278700,1.94127880859375,-4.988525390625,892.5238647460938
1710890703669302000,1.981302001953125,-6.452392578125,892.6825561523438
1710890703709318000,2.02131787109375,-7.2979736328125,892.7741088867188
1710890703749317600,2.061317626953125,-7.422119140625,892.7875366210938
1710890703789291000,2.101291015625,-7.031005859375,892.7453002929688
1710890703829291000,2.141291015625,-6.1644287109375,892.6513061523438
1710890703869297700,2.181297607421875,-4.904052734375,892.5145874023438
1710890703909297700,2.221297607421875,-3.754638671875,892.3900756835938
1710890703949290800,2.261290771484375,-2.5260009765625,892.2570190429688
1710890703989290500,2.30129052734375,-1.3607177734375,892.1307983398438
1710890704029655000,2.341655029296875,-0.3909912109375,892.0255737304688
1710890704069297200,2.381297119140625,0.3804931640625,891.9420776367188
1710890704109290500,2.42129052734375,1.0120849609375,891.8737182617188
1710890704149291000,2.461291015625,1.2841796875,891.8441772460938
1710890704189308000,2.501307861328125,1.27099609375,891.8456420898438
1710890704229299500,2.541299560546875,1.1494140625,891.8588256835938
1710890704269292300,2.581292236328125,0.7425537109375,891.9027709960938
1710890704309290800,2.621290771484375,0.348876953125,891.9454956054688
1710890704349292500,2.66129248046875,0.0555419921875,891.9772338867188
1710890704389278700,2.70127880859375,-0.177001953125,892.0023803710938
1710890704429293000,2.74129296875,-0.26953125,892.0123901367188
1710890704469318100,2.781318115234375,-0.3197021484375,892.0177612304688
1710890704509292500,2.82129248046875,-0.3804931640625,892.0243530273438
1710890704549291500,2.86129150390625,-0.4835205078125,892.0355834960938
1710890704589521700,2.901521728515625,-0.48876953125,892.0363159179688
1710890704629292800,2.941292724609375,-0.504638671875,892.0377807617188
1710890704669291000,2.981291015625,-0.6103515625,892.0494995117188
1710890704709290800,3.021290771484375,-0.6446533203125,892.0531616210938
1710890704749307000,3.061306884765625,-0.9168701171875,892.0824584960938
1710890704789307600,3.1013076171875,-1.339599609375,892.1283569335938
1710890704829290500,3.14129052734375,-1.61962890625,892.1586303710938
1710890704869291000,3.181291015625,-1.846923828125,892.1832885742188
1710890704909310000,3.22131005859375,-1.603759765625,892.1569213867188
1710890704949293600,3.26129345703125,-1.29736328125,892.1237182617188
1710890704989319400,3.3013193359375,-1.1678466796875,892.1098022460938
1710890705029290800,3.341290771484375,-1.4241943359375,892.1376342773438
1710890705069291000,3.381291015625,-1.860107421875,892.1847534179688
1710890705109291300,3.421291259765625,-1.429443359375,892.1381225585938
1710890705149297200,3.461297119140625,-0.3909912109375,892.0255737304688
1710890705189278000,3.50127783203125,0.93798828125,891.8815307617188
1710890705229291000,3.541291015625,2.6661376953125,891.6945190429688
1710890705269291000,3.581291015625,4.462890625,891.4999389648438
1710890705309511200,3.62151123046875,5.995361328125,891.3339233398438
1710890705349305900,3.661305908203125,7.0338134765625,891.2216186523438
