
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-251,-224,-77,-61,accel_data
Y,-263,-236,-75,-70.5,accel_data
X,-242,-216,-70,-74,accel_data
Relative Altitude,-21,-20,-3,-1.5,bar_data
Pressure,-62,-27,-12,-1.5,bar_data
Z,-204,-134,-30,-10.5,gyro_data
Y,-229,-191,-59,-36.5,gyro_data
X,-234,-162,-44,-16,gyro_data
Z,-69,-1,1,-1,grav_data
Y,-50,-23,-2,2.75,grav_data
X,-61,-42,-7,-3,grav_data
qz,-63,-39,-5,-4.75,orient_data
qy,-64,-43,-10,2.75,orient_data
qx,-86,-52,-12,1.75,orient_data
qw,-76,-25,-7,-0.75,orient_data
roll,-83,-4,1,3.5,orient_data
pitch,-48,-28,-3,2.75,orient_data
yaw,-87,5,6,6.5,orient_data
