
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-186,-164,-52,-69.5,accel_data
Y,-196,-167,-55,-66,accel_data
X,-205,-183,-64,-82.5,accel_data
Relative Altitude,-5,-3,5,0,bar_data
Pressure,-20,-16,1,0,bar_data
Z,-180,-119,-26,-29.5,gyro_data
Y,-191,-136,-42,-33.5,gyro_data
X,-139,-79,-11,-5,gyro_data
Z,-29,-16,-1,-3.25,grav_data
Y,-9,-1,4,0.25,grav_data
X,-81,-46,-9,2,grav_data
qz,-119,-25,-1,5,orient_data
qy,-95,-33,-6,4.5,orient_data
qx,-54,-21,-7,5,orient_data
qw,-29,-15,0,-5.25,orient_data
roll,-64,-34,-5,2.75,orient_data
pitch,-9,-8,6,0.25,orient_data
yaw,-102,-63,-9,0.5,orient_data
