time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1707164323786356500,0.0943564453125,-0.6388315558433533,-0.5571388602256775,0.18988247215747833,0.49541419744491577,-0.7891958355903625,-1.1197160482406616,1.3117300271987915
1707164323805315000,0.113315185546875,-0.6541251540184021,-0.5682117938995361,0.18176575005054474,0.4649912714958191,-0.7896115779876709,-1.1491154432296753,1.3786462545394897
1707164323824273400,0.1322734375,-0.6623928546905518,-0.5782508850097656,0.17637763917446136,0.4424392580986023,-0.8018220663070679,-1.1735538244247437,1.414417028427124
1707164323843231700,0.151231689453125,-0.6644253134727478,-0.5875723361968994,0.17384232580661774,0.42787453532218933,-0.8290059566497803,-1.1932209730148315,1.4165630340576172
1707164323862190300,0.1701904296875,-0.6678899526596069,-0.5979695916175842,0.16821888089179993,0.409948468208313,-0.8607866764068604,-1.2130202054977417,1.4239181280136108
1707164323881149000,0.18914892578125,-0.6743450164794922,-0.6093229651451111,0.15710113942623138,0.38639822602272034,-0.8939682245254517,-1.2321193218231201,1.446602702140808
1707164323900107300,0.208107177734375,-0.6822163462638855,-0.6216995716094971,0.13759489357471466,0.3593579828739166,-0.9402652382850647,-1.244259238243103,1.4730708599090576
1707164323919065600,0.227065673828125,-0.6919400095939636,-0.6346046924591064,0.10140685737133026,0.3289566934108734,-1.0102547407150269,-1.2373918294906616,1.5039151906967163
1707164323938024200,0.246024169921875,-0.7045993208885193,-0.641783595085144,0.05166420340538025,0.29830268025398254,-1.0671074390411377,-1.2088903188705444,1.5658783912658691
1707164323956982800,0.264982666015625,-0.7177226543426514,-0.642437756061554,0.004888730589300394,0.2685592472553253,-1.0942742824554443,-1.180536150932312,1.6505261659622192
1707164323975941000,0.283941162109375,-0.7284514904022217,-0.6401532292366028,-0.026270611211657524,0.2426358461380005,-1.0967336893081665,-1.1678069829940796,1.731270432472229
1707164323994899500,0.3028994140625,-0.7356881499290466,-0.6388285160064697,-0.043549515306949615,0.22082695364952087,-1.0913468599319458,-1.169930100440979,1.7937134504318237
1707164324013858000,0.321858154296875,-0.7406958341598511,-0.6389474272727966,-0.05718742311000824,0.1996133029460907,-1.0906872749328613,-1.1776301860809326,1.8451662063598633
1707164324032816600,0.340816650390625,-0.7444869875907898,-0.638666033744812,-0.06946378201246262,0.18171311914920807,-1.0910862684249878,-1.182914137840271,1.8885520696640015
1707164324051775000,0.35977490234375,-0.7482232451438904,-0.6373850703239441,-0.08102386444807053,0.1653400957584381,-1.087252140045166,-1.1863857507705688,1.9327870607376099
1707164324070733300,0.3787333984375,-0.7512105703353882,-0.6363991498947144,-0.08815890550613403,0.15134993195533752,-1.0782870054244995,-1.192929744720459,1.9722896814346313
1707164324089692000,0.39769189453125,-0.753433346748352,-0.6361646056175232,-0.0906890481710434,0.1393136829137802,-1.064315915107727,-1.2036257982254028,2.007321834564209
1707164324108650200,0.416650146484375,-0.7549967169761658,-0.6366795301437378,-0.09028895944356918,0.12832380831241608,-1.0473968982696533,-1.2174195051193237,2.039548635482788
1707164324127608800,0.43560888671875,-0.7560343742370605,-0.6376936435699463,-0.0892239660024643,0.11746460199356079,-1.0305410623550415,-1.232361078262329,2.0705318450927734
1707164324146567200,0.454567138671875,-0.7564188838005066,-0.6391819715499878,-0.08786286413669586,0.10750329494476318,-1.0162397623062134,-1.2471669912338257,2.0972084999084473
1707164324165525800,0.47352587890625,-0.7564404010772705,-0.6408389806747437,-0.08810163289308548,0.09675440192222595,-1.0057462453842163,-1.2612260580062866,2.1234614849090576
1707164324184484000,0.492484130859375,-0.756555438041687,-0.6420868039131165,-0.09084266424179077,0.08423791825771332,-0.9964727759361267,-1.2738815546035767,2.154564380645752
1707164324203442700,0.511442626953125,-0.7565768361091614,-0.6430703997612,-0.09454046189785004,0.07151264697313309,-0.9876437783241272,-1.285373568534851,2.1868510246276855
1707164324222401000,0.530401123046875,-0.7564404010772705,-0.6438055038452148,-0.09924555569887161,0.058844901621341705,-0.980593740940094,-1.2954121828079224,2.2186877727508545
1707164324241359600,0.549359619140625,-0.7563761472702026,-0.6439350247383118,-0.10567266494035721,0.04556461423635483,-0.9743829965591431,-1.3034840822219849,2.253006935119629
1707164324260318000,0.56831787109375,-0.7563562989234924,-0.643574595451355,-0.11271168291568756,0.03213999420404434,-0.9667310118675232,-1.3104398250579834,2.2898430824279785
1707164324279276500,0.587276611328125,-0.7562513947486877,-0.6431479454040527,-0.11847760528326035,0.020189836621284485,-0.9567087888717651,-1.3170506954193115,2.325125217437744
1707164324298235000,0.60623486328125,-0.7560604810714722,-0.642665684223175,-0.12360350042581558,0.008693475276231766,-0.9441508650779724,-1.3237507343292236,2.3613805770874023
1707164324317193500,0.625193359375,0.7557013630867004,0.6424309611320496,0.1272633671760559,0.0013870599213987589,-0.9298189282417297,-1.3307414054870605,2.3952887058258057
1707164324336151800,0.64415185546875,0.7553115487098694,0.6423449516296387,0.1296340972185135,0.009612110443413258,-0.9149715900421143,-1.3371700048446655,2.425222158432007
1707164324355110400,0.6631103515625,0.7551093101501465,0.6418836712837219,0.13223518431186676,0.01758403703570366,-0.8984895944595337,-1.3424193859100342,2.456774950027466
1707164324374068700,0.68206884765625,0.7551375031471252,0.6412239670753479,0.13421392440795898,0.024202866479754448,-0.8809390664100647,-1.3463671207427979,2.4865870475769043
1707164324393027300,0.70102734375,0.7553891539573669,0.6409491896629333,0.13355165719985962,0.02711658924818039,-0.8637323379516602,-1.3493237495422363,2.5069806575775146
1707164324411985700,0.719985595703125,0.755785346031189,0.6405673027038574,0.13265681266784668,0.029396919533610344,-0.8462568521499634,-1.351552128791809,2.526412010192871
1707164324430944300,0.7389443359375,0.7563052773475647,0.640235185623169,0.1310204714536667,0.03057597577571869,-0.8285540342330933,-1.3532904386520386,2.543438196182251
1707164324449902600,0.757902587890625,0.7567615509033203,0.6400620341300964,0.12909136712551117,0.031112302094697952,-0.8126085996627808,-1.354884147644043,2.5573692321777344
1707164324468861200,0.776861083984375,0.7571175694465637,0.6397997736930847,0.1279943287372589,0.032351430505514145,-0.7982535362243652,-1.3563241958618164,2.571908950805664
1707164324487819500,0.795819580078125,0.7574326395988464,0.6395906209945679,0.1269143521785736,0.03335173428058624,-0.7852713465690613,-1.3575985431671143,2.58476185798645
1707164324506778000,0.814778076171875,0.7575191855430603,0.6391606330871582,0.12782849371433258,0.03603058308362961,-0.7764660120010376,-1.3585699796676636,2.5986995697021484
1707164324525736700,0.83373681640625,0.7575690150260925,0.6393306851387024,0.1267608255147934,0.035737309604883194,-0.7718798518180847,-1.3593788146972656,2.601327419281006
1707164324544695000,0.852695068359375,0.7573810815811157,0.6395232677459717,0.12672962248325348,0.03637918457388878,-0.7702820897102356,-1.3603906631469727,2.6037864685058594
1707164324563653400,0.8716533203125,0.7569141387939453,0.6398501992225647,0.12747973203659058,0.03770511969923973,-0.771936297416687,-1.3617854118347168,2.605087995529175
1707164324582612000,0.890612060546875,0.7563207745552063,0.6404684782028198,0.1277826577425003,0.03808598965406418,-0.777026891708374,-1.3632169961929321,2.6009583473205566
1707164324601570600,0.909570556640625,0.7556735873222351,0.6412970423698425,0.12764489650726318,0.03744817152619362,-0.7853814959526062,-1.3644332885742188,2.5914790630340576
1707164324620529000,0.92852880859375,0.7549166679382324,0.6423511505126953,0.12723028659820557,0.03603226691484451,-0.7972327470779419,-1.3655558824539185,2.576993703842163
1707164324639487500,0.947487548828125,0.7540394067764282,0.6435492634773254,0.12685652077198029,0.03429854288697243,-0.8121143579483032,-1.3666034936904907,2.5590834617614746
1707164324658445800,0.96644580078125,0.7531459927558899,0.6447493433952332,0.1265784651041031,0.0323612317442894,-0.8287426829338074,-1.3673361539840698,2.539276361465454
1707164324677404400,0.985404296875,0.7523707747459412,0.6457816362380981,0.12644413113594055,0.030267583206295967,-0.8457090854644775,-1.367412805557251,2.5191211700439453
1707164324696362800,1.00436279296875,0.7517319321632385,0.6466294527053833,0.12644071877002716,0.0279682744294405,-0.8628175258636475,-1.3667596578598022,2.4987268447875977
1707164324715321300,1.0233212890625,0.7511837482452393,0.6473695635795593,0.12646383047103882,0.025347936898469925,-0.8803577423095703,-1.365488052368164,2.4774863719940186
1707164324734280000,1.042280029296875,0.750749945640564,0.6479818224906921,0.12646730244159698,0.022362759336829185,-0.89786297082901,-1.3635485172271729,2.4557390213012695
1707164324753238300,1.06123828125,0.7504088282585144,0.6484951972961426,0.1263963133096695,0.019093526527285576,-0.9147816300392151,-1.3611268997192383,2.4340715408325195
1707164324772196900,1.08019677734375,0.7500699758529663,0.6490601897239685,0.12598806619644165,0.015584367327392101,-0.9306454062461853,-1.3587769269943237,2.412632465362549
1707164324791155200,1.0991552734375,0.7496909499168396,0.6496774554252625,0.12545469403266907,0.0119899557903409,-0.9462296366691589,-1.3564844131469727,2.3911726474761963
1707164324810113800,1.11811376953125,0.7492135763168335,0.6503946781158447,0.12488388270139694,0.008353249169886112,-0.9623697996139526,-1.3542970418930054,2.36904239654541
1707164324829072100,1.137072021484375,0.7486644387245178,0.651160717010498,0.12436798959970474,0.004889154806733131,-0.978407084941864,-1.3522694110870361,2.347339630126953
1707164324848030700,1.15603076171875,0.7481561899185181,0.6518341898918152,0.12398305535316467,0.0016373429680243134,-0.9933410286903381,-1.3501381874084473,2.327230930328369
1707164324866989300,1.1749892578125,-0.7476910948753357,-0.6524518132209778,-0.12353885173797607,0.0016792239621281624,-1.0073686838150024,-1.3478484153747559,2.307853937149048
1707164324885947600,1.19394775390625,-0.7472243309020996,-0.6530568599700928,-0.12307116389274597,0.005109450779855251,-1.0212374925613403,-1.345385193824768,2.2884418964385986
1707164324904906200,1.21290625,-0.7467620968818665,-0.6536376476287842,-0.12260907143354416,0.008436989039182663,-1.034323811531067,-1.3429484367370605,2.2699646949768066
1707164324923864600,1.231864501953125,-0.7463588714599609,-0.6541652679443359,-0.12199033051729202,0.011602788232266903,-1.0453969240188599,-1.3407386541366577,2.2535080909729004
1707164324942823200,1.2508232421875,-0.7460029125213623,-0.6546394228935242,-0.12127605080604553,0.01479955855756998,-1.0553861856460571,-1.3384817838668823,2.2379543781280518
1707164324961781800,1.26978173828125,-0.745614767074585,-0.6551322340965271,-0.12054815143346786,0.018125426024198532,-1.0656657218933105,-1.3360896110534668,2.221907377243042
1707164324980740000,1.288739990234375,-0.7451968789100647,-0.6556691527366638,-0.11962508410215378,0.021666254848241806,-1.0758224725723267,-1.3336893320083618,2.205397844314575
1707164324999698700,1.30769873046875,-0.744685173034668,-0.6563518047332764,-0.11835308372974396,0.025275811553001404,-1.0857495069503784,-1.33176589012146,2.1885175704956055
1707164325018657000,1.326656982421875,-0.7440250515937805,-0.6572123765945435,-0.11698401719331741,0.028519080951809883,-1.0959022045135498,-1.3306045532226562,2.1717896461486816
1707164325037615600,1.34561572265625,-0.7432724237442017,-0.6581555008888245,-0.11579465121030807,0.031129613518714905,-1.1060576438903809,-1.3300837278366089,2.156214952468872
1707164325056574200,1.36457421875,-0.7425094246864319,-0.6590637564659119,-0.11496127396821976,0.033145204186439514,-1.1160190105438232,-1.3298026323318481,2.1421902179718018
1707164325075532500,1.383532470703125,-0.741815447807312,-0.6598318219184875,-0.11454455554485321,0.034804217517375946,-1.1255958080291748,-1.329268217086792,2.129654884338379
1707164325094491100,1.4024912109375,-0.7411612272262573,-0.6605201363563538,-0.1143794059753418,0.036201417446136475,-1.134844183921814,-1.328636884689331,2.1181819438934326
1707164325113449700,1.42144970703125,-0.7405399084091187,-0.6611720323562622,-0.11424939334392548,0.03740602359175682,-1.1434147357940674,-1.3281322717666626,2.1077096462249756
1707164325132408000,1.440407958984375,-0.7399150729179382,-0.6618386507034302,-0.11406836658716202,0.03851884603500366,-1.1516897678375244,-1.3277993202209473,2.0975918769836426
1707164325151366700,1.45936669921875,-0.7392553091049194,-0.6625415682792664,-0.11390449106693268,0.03957276791334152,-1.160254716873169,-1.32754385471344,2.0872905254364014
1707164325170325200,1.4783251953125,-0.738612174987793,-0.6632493734359741,-0.11356645077466965,0.04068158194422722,-1.1682696342468262,-1.3274120092391968,2.0772128105163574
1707164325189283600,1.49728369140625,-0.7380039095878601,-0.6639488339424133,-0.11299972981214523,0.04187161847949028,-1.17545485496521,-1.327423334121704,2.0675206184387207
1707164325208242200,1.5162421875,-0.7374617457389832,-0.6646034717559814,-0.11224944144487381,0.043040283024311066,-1.1814326047897339,-1.327614665031433,2.058804750442505
1707164325227200800,1.53520068359375,-0.7369574904441833,-0.6652542352676392,-0.11124330013990402,0.04421979561448097,-1.1864101886749268,-1.328084945678711,2.050706386566162
1707164325246159000,1.5541591796875,-0.7364134192466736,-0.6659500002861023,-0.11026490479707718,0.04524945467710495,-1.1916961669921875,-1.3287529945373535,2.0425522327423096
1707164325265117700,1.57311767578125,-0.7359085083007812,-0.6666303277015686,-0.10916918516159058,0.04609450697898865,-1.1960508823394775,-1.3297706842422485,2.03542423248291
1707164325284076300,1.592076171875,-0.7355071306228638,-0.6672168374061584,-0.10790977627038956,0.04697242006659508,-1.198935627937317,-1.3308382034301758,2.0294864177703857
1707164325303034600,1.61103466796875,-0.7351858615875244,-0.6677480340003967,-0.10636527091264725,0.047965988516807556,-1.200434923171997,-1.3320447206497192,2.024362564086914
1707164325321993200,1.6299931640625,-0.7349114418029785,-0.6682759523391724,-0.1044359803199768,0.049045972526073456,-1.2006478309631348,-1.3336101770401,2.019852638244629
1707164325340951800,1.648951904296875,-0.7346767783164978,-0.6687809824943542,-0.1022895872592926,0.05018839240074158,-1.1999781131744385,-1.3353410959243774,2.0158274173736572
1707164325359910100,1.66791015625,-0.7344609498977661,-0.6692594289779663,-0.10010115057229996,0.05136790871620178,-1.1990123987197876,-1.3370516300201416,2.011986255645752
1707164325378868700,1.68686865234375,-0.7342244982719421,-0.6697471737861633,-0.09791359305381775,0.052593331784009933,-1.198317527770996,-1.3387174606323242,2.0078132152557373
1707164325397827300,1.705827392578125,-0.7339757084846497,-0.6702346205711365,-0.09570831805467606,0.05389929935336113,-1.1977976560592651,-1.3403067588806152,2.0033257007598877
1707164325416786000,1.724785888671875,-0.7336926460266113,-0.6707583665847778,-0.09334759414196014,0.055358801037073135,-1.1974838972091675,-1.3419368267059326,1.9981939792633057
1707164325435744300,1.743744140625,-0.7333358526229858,-0.6713541746139526,-0.09080763161182404,0.05706246569752693,-1.1978989839553833,-1.3435600996017456,1.9917315244674683
1707164325454702800,1.762702880859375,-0.7328768372535706,-0.6720417737960815,-0.08813019841909409,0.05902935937047005,-1.1995066404342651,-1.3451207876205444,1.983507513999939
1707164325473661400,1.781661376953125,-0.73231440782547,-0.6728139519691467,-0.08537353575229645,0.06122385337948799,-1.2024192810058594,-1.346581220626831,1.9735435247421265
1707164325492620000,1.8006201171875,-0.7316922545433044,-0.6736235618591309,-0.0826154425740242,0.06350133568048477,-1.2061225175857544,-1.3479751348495483,1.962670922279358
1707164325511578400,1.819578369140625,-0.7310068607330322,-0.6744779348373413,-0.07971473038196564,0.06598538160324097,-1.2104618549346924,-1.3493280410766602,1.9506672620773315
1707164325530537000,1.838536865234375,-0.7303347587585449,-0.6752797365188599,-0.07712136209011078,0.06826957315206528,-1.215110421180725,-1.3504894971847534,1.9390771389007568
1707164325549495600,1.85749560546875,-0.7296367287635803,-0.6760688424110413,-0.07462666183710098,0.07065437734127045,-1.2203693389892578,-1.3513768911361694,1.9268746376037598
1707164325568454000,1.876453857421875,-0.7289121747016907,-0.6768473982810974,-0.07221165299415588,0.07314474135637283,-1.2261829376220703,-1.352006435394287,1.9140821695327759
1707164325587412500,1.89541259765625,-0.7282105088233948,-0.677568256855011,-0.07010737806558609,0.07546970993280411,-1.2322039604187012,-1.3523838520050049,1.901760220527649
1707164325606371000,1.91437109375,-0.7275111079216003,-0.6782532334327698,-0.06806034594774246,0.07789700478315353,-1.2383201122283936,-1.352510690689087,1.8892782926559448
1707164325625329700,1.93332958984375,-0.7268500924110413,-0.6788725852966309,-0.06647030264139175,0.08001673221588135,-1.2446503639221191,-1.3523703813552856,1.8776702880859375
1707164325644288300,1.952288330078125,-0.7262205481529236,-0.6794286966323853,-0.06527378410100937,0.08197396248579025,-1.2512315511703491,-1.3518584966659546,1.866600513458252
1707164325663246800,1.971246826171875,-0.7256458401679993,-0.6799059510231018,-0.06448055803775787,0.08371533453464508,-1.2577435970306396,-1.3510181903839111,1.8564809560775757
1707164325682205200,1.990205078125,-0.7251384854316711,-0.6802975535392761,-0.06406313925981522,0.08523702621459961,-1.2639623880386353,-1.349887728691101,1.8475010395050049
1707164325701163800,2.009163818359375,-0.72464919090271,-0.6806373596191406,-0.06362137198448181,0.08699814230203629,-1.2698725461959839,-1.3484227657318115,1.8384536504745483
1707164325720122400,2.028122314453125,-0.7242142558097839,-0.6809101104736328,-0.0633639544248581,0.08865713328123093,-1.2752913236618042,-1.346785306930542,1.83030366897583
1707164325739080700,2.047080810546875,-0.7237488031387329,-0.6812059879302979,-0.0632682591676712,0.09023985266685486,-1.2812491655349731,-1.3450413942337036,1.8219536542892456
1707164325758039300,2.066039306640625,-0.7233046889305115,-0.6814970970153809,-0.06366424262523651,0.09131741523742676,-1.2876274585723877,-1.3432941436767578,1.8146008253097534
1707164325776998000,2.084997802734375,-0.7228521108627319,-0.6817821860313416,-0.06390508264303207,0.09259603917598724,-1.2937344312667847,-1.3414738178253174,1.8070123195648193
1707164325795956500,2.10395654296875,-0.7224785089492798,-0.6819892525672913,-0.06426156312227249,0.09373299777507782,-1.298944354057312,-1.339623212814331,1.8006864786148071
1707164325814915000,2.1229150390625,-0.7221525311470032,-0.6821528077125549,-0.06446203589439392,0.0949099138379097,-1.3032138347625732,-1.3378938436508179,1.7950220108032227
1707164325833873400,2.141873291015625,-0.7218570709228516,-0.6823059320449829,-0.06461702287197113,0.09594563394784927,-1.3069685697555542,-1.336402416229248,1.7900086641311646
1707164325852832000,2.16083203125,-0.7215273976325989,-0.6825100183486938,-0.06466754525899887,0.09693510085344315,-1.3109121322631836,-1.3351439237594604,1.7847249507904053
1707164325871790600,2.17979052734375,-0.7212127447128296,-0.6827211380004883,-0.06459176540374756,0.09783614426851273,-1.3144367933273315,-1.3341749906539917,1.7798051834106445
1707164325890749200,2.198749267578125,-0.7209453582763672,-0.6829090118408203,-0.06437315791845322,0.09863677620887756,-1.3171584606170654,-1.3335168361663818,1.7756304740905762
1707164325909707800,2.217707763671875,-0.7207539677619934,-0.6830531358718872,-0.06416484713554382,0.09917160868644714,-1.3190202713012695,-1.3331717252731323,1.7727088928222656
1707164325928666000,2.236666015625,-0.7206295132637024,-0.6831522583961487,-0.06388211995363235,0.09957493096590042,-1.319992184638977,-1.3330755233764648,1.7707589864730835
1707164325947624700,2.255624755859375,-0.7205954790115356,-0.6831943392753601,-0.06377848237752914,0.09959937632083893,-1.320238471031189,-1.3332099914550781,1.7703312635421753
1707164325966583300,2.274583251953125,-0.720586359500885,-0.6832221746444702,-0.06351719051599503,0.09964103996753693,-1.3199454545974731,-1.3335264921188354,1.7701934576034546
1707164325985542000,2.2935419921875,-0.7205907106399536,-0.6832595467567444,-0.06320514529943466,0.09955158829689026,-1.3194434642791748,-1.3340944051742554,1.7703795433044434
