time,seconds_elapsed,steps
1707165824872840400,0.08984033203125,0
1707165836711434000,11.92843408203125,6
1707165837127781600,12.34478173828125,7
1707165837450163000,12.667162841796875,8
1707165837866824000,13.083823974609375,9
1707165838162059300,13.379059326171875,10
1707165838587255300,13.80425537109375,11
1707165838891608600,14.108608642578124,12
1707165839326744000,14.543744140625,13
1707165839612149000,14.82914892578125,14
1707165840028166700,15.245166748046875,15
1707165840331871700,15.548871826171874,16
1707165840767386400,15.984386474609375,17
1707165841052305000,16.269304931640626,18
1707165841487874300,16.704874267578123,19
1707165841802197500,17.019197509765625,20
1707165842208678700,17.4256787109375,21
1707165842511767800,17.728767822265624,22
1707165842948240000,18.165239990234376,23
1707165843242289400,18.459289306640624,24
1707165843631717600,18.848717529296874,25
1707165843952729000,19.16972900390625,26
1707165844408603100,19.62560302734375,27
1707165844711271400,19.928271484375,28
1707165845109235700,20.326235595703125,29
1707165845413177300,20.63017724609375,30
1707165845812492300,21.0294921875,31
1707165846143216000,21.360216064453127,32
1707165846551875000,21.768875,33
1707165846835003000,22.0520029296875,34
1707165847271848700,22.4888486328125,35
1707165847555552800,22.772552734375,36
1707165847972711700,23.189711669921873,37
1707165848276182300,23.493182373046874,38
1707165848711861200,23.928861328125,39
1707165848977581600,24.19458154296875,40
1707165849394700500,24.611700439453124,41
1707165849698083800,24.915083740234376,42
1707165850152653300,25.3696533203125,43
1707165850418614000,25.635614013671876,44
1707165850855121700,26.07212158203125,45
1707165851121542100,26.338542236328124,46
1707165851556296200,26.773296142578126,47
1707165851842012700,27.0590126953125,48
1707165852276669200,27.493669189453126,49
1707165852562273500,27.7792734375,50
1707165852997676500,28.214676513671876,51
1707165853282201600,28.49920166015625,52
1707165853717952000,28.934951904296874,53
1707165854002602000,29.21960205078125,54
1707165854438226200,29.65522607421875,55
1707165854731743200,29.9487431640625,56
1707165855148574500,30.365574462890624,57
1707165855451655000,30.668655029296875,58
1707165855868900000,31.085900146484374,59
1707165856172136700,31.38913671875,60
1707165856608271000,31.82527099609375,61
1707165856854952200,32.0719521484375,62
1707165860363953400,35.58095336914062,70
1707165860448056300,35.665056396484374,72
1707165860847204400,36.064204345703125,73
1707165861149215200,36.36621533203125,74
1707165861586649300,36.8036494140625,75
1707165861869903600,37.086903564453124,76
1707165862287272200,37.50427221679688,77
1707165862590275300,37.807275390625,78
1707165866354145800,41.571145751953125,87
1707165866376708400,41.593708251953124,88
1707165866628809700,41.845809814453126,89
1707165866933416400,42.15041650390625,90
1707165867368245000,42.585244873046875,91
1707165867634036200,42.8510361328125,92
1707165868070124000,43.2871240234375,93
1707165868354718200,43.57171826171875,94
1707165872347637000,47.564636962890624,103
1707165872392769000,47.60976904296875,105
