time,seconds_elapsed,z,y,x
1710891155441523200,0.061523193359375,0.06192641705274582,-0.21868959069252014,-0.0862082913517952
1710891155460483600,0.080483642578125,0.041157014667987823,-0.07544180005788803,-0.0862082913517952
1710891155479444000,0.09944384765625,0.0295505840331316,0.04062250629067421,-0.08956804871559143
1710891155498404000,0.118404052734375,0.03107774630188942,0.07422006875276566,-0.09323323518037796
1710891155517364500,0.137364501953125,0.032910339534282684,0.030543239787220955,-0.1011744812130928
1710891155536324900,0.156324951171875,0.03168861195445061,-0.040317077189683914,-0.11094831675291061
1710891155555285000,0.175284912109375,0.029856016859412193,-0.11453714966773987,-0.12102758139371872
1710891155574245400,0.194245361328125,0.023747367784380913,-0.189673513174057,-0.12438733875751495
1710891155593205500,0.21320556640625,0.00847574882209301,-0.24465134739875793,-0.12316560745239258
1710891155612166000,0.232165771484375,-0.013820815831422806,-0.27366742491722107,-0.11491893976926804
1710891155631126300,0.251126220703125,-0.03550651669502258,-0.2779434621334076,-0.10606139898300171
1710891155650086400,0.27008642578125,-0.05230529606342316,-0.2614501118659973,-0.09842558950185776
1710891155669046800,0.289046875,-0.06818778067827225,-0.23335035145282745,-0.09506583213806152
1710891155688007200,0.308007080078125,-0.07826705276966095,-0.205861434340477,-0.09292780607938766
1710891155706967300,0.32696728515625,-0.08437569439411163,-0.18264856934547424,-0.08987347781658173
1710891155725927700,0.345927734375,-0.09292780607938766,-0.17562362551689148,-0.08651372790336609
1710891155744888000,0.36488818359375,-0.10270164161920547,-0.1802051067352295,-0.08223766833543777
1710891155763848200,0.38384814453125,-0.116751529276371,-0.19394956529140472,-0.08254310488700867
1710891155782808600,0.40280859375,-0.13049599528312683,-0.21502439677715302,-0.08865175396203995
1710891155801769000,0.42176904296875,-0.13935352861881256,-0.2360992431640625,-0.09506583213806152
1710891155820729000,0.44072900390625,-0.14607304334640503,-0.24953825771808624,-0.09812015295028687
1710891155839689500,0.459689453125,-0.14485131204128265,-0.24556763470172882,-0.09445496648550034
1710891155858649600,0.478649658203125,-0.14393500983715057,-0.22876885533332825,-0.08651372790336609
1710891155877610000,0.49760986328125,-0.15859577059745789,-0.21258094906806946,-0.08468113094568253
1710891155896570400,0.5165703125,-0.17631085216999054,-0.19669845700263977,-0.08132137358188629
1710891155915530500,0.535530517578125,-0.17478369176387787,-0.1692095398902893,-0.06788235157728195
1710891155934491000,0.554490966796875,-0.16073378920555115,-0.14477495849132538,-0.05627591907978058
1710891155953451300,0.573451171875,-0.14698933064937592,-0.14294235408306122,-0.04558578506112099
1710891155972411400,0.592411376953125,-0.1375209391117096,-0.1542433500289917,-0.041615162044763565
1710891155991371800,0.611371826171875,-0.12957969307899475,-0.1698204129934311,-0.03367391973733902
1710891156010332200,0.630332275390625,-0.12011128664016724,-0.18295399844646454,-0.022983787581324577
1710891156029292300,0.649292236328125,-0.11400263756513596,-0.19272783398628235,-0.007406735327094793
1710891156048252700,0.668252685546875,-0.10483966767787933,-0.19792018830776215,0.012751801870763302
1710891156067212800,0.687212890625,-0.10239620506763458,-0.19150610268115997,0.0319940410554409
1710891156086173200,0.706173095703125,-0.09842558950185776,-0.17592905461788177,0.05215258151292801
1710891156105133600,0.725133544921875,-0.09567669779062271,-0.15271618962287903,0.07414371520280838
1710891156124094000,0.744093994140625,-0.10025817900896072,-0.12125665694475174,0.10315979272127151
1710891156143054000,0.76305419921875,-0.11094831675291061,-0.0974329337477684,0.14866921305656433
1710891156162014500,0.782014404296875,-0.11308634281158447,-0.09834922850131989,0.18837542831897736
