
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-330,-269,-86,-26.5,accel_data
Y,-412,-340,-113,-52.5,accel_data
X,-384,-297,-96,-47,accel_data
Relative Altitude,-48,-37,-4,2.5,bar_data
Pressure,-101,-60,-20,2,bar_data
Z,-348,-302,-99,14.5,gyro_data
Y,-407,-324,-106,15,gyro_data
X,-329,-266,-91,5.5,gyro_data
Z,-154,-28,-4,15.5,grav_data
Y,-157,-144,-25,16,grav_data
X,-184,-180,-28,16,grav_data
qz,-160,16,16,16,orient_data
qy,-168,-10,1,16,orient_data
qx,-205,16,16,16,orient_data
qw,-146,16,16,16,orient_data
roll,-160,-24,-4,16,orient_data
pitch,-159,-14,3,16,orient_data
yaw,-188,-188,-36,16,orient_data
