time,seconds_elapsed,steps
1711552864537545500,-105.67945458984374,0
1711552988622649900,18.40564990234375,6
1711552989020699000,18.803698974609375,7
1711552989475301000,19.258301025390626,8
1711552989855617300,19.6386171875,9
1711552990253286000,20.036285888671873,10
1711552990651384300,20.43438427734375,11
1711552991087611000,20.87061083984375,12
1711552991437550600,21.220550537109375,13
1711552991883659300,21.6666591796875,14
1711552992206342400,21.98934228515625,15
1711552992641656300,22.42465625,16
1711552993002012400,22.785012451171873,17
1711552993419451400,23.202451416015624,18
1711552993817930800,23.6009306640625,19
1711552994215851000,23.99885107421875,20
1711552994595114500,24.378114501953124,21
1711552995031202600,24.81420263671875,22
1711552995410260700,25.1932607421875,23
1711552995827433000,25.610432861328125,24
1711552996206851600,25.9898515625,25
1711552996605649200,26.388649169921877,26
1711552996984218600,26.767218505859375,27
1711552997400613400,27.18361328125,28
1711552997780391000,27.563390869140626,29
1711552998197786600,27.98078662109375,30
1711552998576614100,28.3596142578125,31
1711552998994484200,28.777484130859374,32
1711552999335526400,29.1185263671875,33
1711552999752192300,29.535192138671874,34
1711553000098251300,29.881251220703124,35
1711553000535373800,30.318373779296873,36
1711553000895607600,30.678607666015626,37
1711553001349673700,31.132673828125,38
1711553001672429800,31.455429931640627,39
1711553002107773200,31.890773193359376,40
1711553002450024700,32.23302465820313,41
1711553002885096400,32.66809643554687,42
1711553003227097300,33.010097412109374,43
1711553003663104000,33.44610400390625,44
1711553004042611700,33.82561181640625,45
1711553004477406000,34.26040600585937,46
1711553004796422000,34.579421875,47
1711553005232306200,35.01530615234375,48
1711553005630062600,35.4130625,49
1711553006047604200,35.830604248046875,50
1711553006387841000,36.17084106445313,51
1711553006862649900,36.64564990234375,52
1711553007203286300,36.986286376953124,53
1711553007638952700,37.42195263671875,54
1711553007961617200,37.7446171875,55
1711553008416700700,38.19970068359375,56
1711553008795365400,38.57836547851562,57
1711553009270536400,39.053536376953126,58
1711553009611435000,39.39443505859375,59
1711553010085493200,39.8684931640625,60
1711553010435993900,40.21899389648438,61
1711553010938332000,40.72133178710938,62
1711553011299987000,41.08298706054688,63
1711553011716069600,41.49906958007813,64
1711553012076200000,41.859199951171874,65
1711553012531938000,42.31493798828125,66
1711553012873088500,42.65608862304688,67
1711553013328434700,43.1114345703125,68
1711553013668234800,43.45123486328125,69
1711553014161888000,43.944887939453125,70
1711553014485976000,44.26897607421875,71
1711553014939379200,44.72237915039062,72
1711553015300181800,45.083181640625,73
1711553015755583700,45.53858374023437,74
1711553016119068400,45.902068359375,75
1711553016555471600,46.3384716796875,76
1711553016936109300,46.719109375,77
1711553017409779500,47.192779541015625,78
1711553017750459400,47.53345947265625,79
1711553018225415400,48.00841552734375,80
1711553018604105700,48.38710571289062,81
1711553019058210000,48.8412099609375,82
1711553019437294600,49.22029467773437,83
1711553019912284200,49.6952841796875,84
1711553020253597000,50.03659692382813,85
1711553020746508300,50.52950830078125,86
1711553021088089300,50.87108935546875,87
1711553021562050800,51.34505078125,88
1711553021941039900,51.72403979492187,89
1711553022416261400,52.19926147460937,90
1711553022770696200,52.5536962890625,91
1711553023225422300,53.00842236328125,92
1711553023606131700,53.389131591796875,93
1711553024078117400,53.86111743164062,94
1711553024420057900,54.203057861328126,95
1711553024913305300,54.69630541992188,96
1711553025272941800,55.05594189453125,97
1711553025727802600,55.510802734375,98
1711553026088209700,55.871209716796876,99
1711553026543775200,56.32677514648437,100
1711553026923468500,56.70646850585938,101
1711553027396171500,57.17917163085937,102
1711553027736967000,57.519966796875,103
1711553028193642500,57.976642578125,104
1711553028553478000,58.33647778320312,105
1711553028989883100,58.77288305664062,106
1711553029387852500,59.1708525390625,107
1711553029842105300,59.62510522460938,108
1711553030203696400,59.9866962890625,109
1711553030657608200,60.440608154296875,110
1711553031017948700,60.80094873046875,111
1711553031492126500,61.27512646484375,112
1711553031833478100,61.61647802734375,113
1711553032269482200,62.052482177734376,114
1711553032649164000,62.4321640625,115
1711553033141763300,62.924763427734376,116
1711553033464163800,63.247163818359375,117
1711553033938722800,63.721722900390624,118
1711553034279468000,64.06246801757813,119
1711553034735467800,64.5184677734375,120
1711553035095786800,64.87878686523437,121
1711553035568861700,65.35186181640626,122
1711553035910022000,65.69302197265625,123
1711553036365746700,66.14874658203125,124
1711553036705849300,66.48884936523437,125
1711553037161323800,66.94432373046875,126
1711553037520820500,67.30382055664063,127
1711553037975946500,67.75894653320313,128
1711553038298954000,68.0819541015625,129
1711553038754111000,68.53711108398437,130
1711553039095695600,68.87869555664062,131
1711553039550594300,69.33359423828125,132
1711553039873012500,69.65601245117188,133
1711553040327995600,70.11099560546874,134
