
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-4063,-3138,-1354,-1733.5,accel_data
Y,-3585,-3400,-1264,-1894.5,accel_data
X,-4334,-3452,-1231,-1670,accel_data
Relative Altitude,-1889,-1127,-406,-733.75,bar_data
Pressure,-1953,-1342,-759,-733.75,bar_data
Z,-3753,-2941,-1207,-524,gyro_data
Y,-4039,-3405,-1229,-1525.5,gyro_data
X,-3719,-3261,-1251,-1396,gyro_data
Z,-2529,-1460,-626,-559.25,grav_data
Y,-2497,-2327,-786,-232.75,grav_data
X,-2156,-1430,-552,-400.25,grav_data
qz,-2303,-1125,-385,-260.25,orient_data
qy,-2703,-1348,-496,-249,orient_data
qx,-2785,-1386,-533,-140,orient_data
qw,-2296,-1212,-479,-177.5,orient_data
roll,-2371,-1406,-587,-559,orient_data
pitch,-2455,-1195,-564,-493.25,orient_data
yaw,-2676,-1734,-655,-540.75,orient_data
