
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-592,-482,-190,-111.5,accel_data
Y,-613,-380,-143,-128.5,accel_data
X,-619,-478,-177,-144.5,accel_data
Relative Altitude,-95,-64,-32,-31.75,bar_data
Pressure,-142,-98,-43,-31.75,bar_data
Z,-458,-321,-97,-41,gyro_data
Y,-574,-529,-168,-76,gyro_data
X,-362,-252,-93,-27,gyro_data
Z,-261,-144,-48,-1.75,grav_data
Y,-171,-41,-30,-13.5,grav_data
X,-318,-142,-57,-3.25,grav_data
qz,-264,-225,-68,-12,orient_data
qy,-264,-133,-47,-12.25,orient_data
qx,-229,-77,-36,-12.5,orient_data
qw,-209,-133,-47,-14.25,orient_data
roll,-392,-32,-9,-3.25,orient_data
pitch,-170,-149,-39,-28,orient_data
yaw,-274,-240,-69,-0.75,orient_data
