
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-4227,-2805,-1162,-1641,accel_data
Y,-2948,-2806,-1264,-1653,accel_data
X,-2839,-2231,-1003,-1074.5,accel_data
Relative Altitude,-1680,-929,-392,-694.75,bar_data
Pressure,-1700,-965,-379,-694.75,bar_data
Z,-3780,-2780,-1008,-925.5,gyro_data
Y,-3094,-2068,-871,-1156.5,gyro_data
X,-3809,-2808,-1178,-1328.5,gyro_data
Z,-1810,-1602,-672,-618.75,grav_data
Y,-2006,-1829,-712,-256.5,grav_data
X,-1548,-1243,-489,-450.25,grav_data
qz,-1194,-641,-229,-195.75,orient_data
qy,-1794,-964,-380,-163.75,orient_data
qx,-1978,-1130,-467,-84,orient_data
qw,-1181,-802,-280,-136,orient_data
roll,-1400,-1111,-479,-601.25,orient_data
pitch,-2034,-1179,-663,-497.25,orient_data
yaw,-1719,-1064,-476,-495.25,orient_data
