
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-120,-64,148,58,accel_data
Y,-6,-4,156,36,accel_data
X,-160,10,147,68.5,accel_data
Relative Altitude,45,69,192,175,bar_data
Pressure,15,37,170,175,bar_data
Z,43,84,189,174.5,gyro_data
Y,-97,-41,174,140,gyro_data
X,-86,-22,172,124,gyro_data
Z,45,124,197,174.25,grav_data
Y,137,139,242,164.75,grav_data
X,66,68,226,170.5,grav_data
qz,82,148,234,256.75,orient_data
qy,15,106,223,254.75,orient_data
qx,-2,121,221,260.5,orient_data
qw,100,197,271,247,orient_data
roll,73,131,210,192,orient_data
pitch,160,172,255,184.75,orient_data
yaw,51,147,227,232.75,orient_data
