seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
1,-0.117851973,-0.120433807,0.428707242,1.187306643,9.62525177,1.509611607,-0.132023156,-0.60590148,-0.525038302,0.446354777,0.31063351,0.588787854,0.602835536,-0.904342651,-1.373677611,-2.027724028,-0.805786133,880.9794312,0.979860902,9.479166985,1.92741859,-0.12950334,-0.609032214,-0.54061532,0.991824985,9.553344727,1.953739643
1.1,-0.695738673,-0.403346062,-0.245309114,1.448096156,9.586512566,1.484376669,-0.082237668,-0.241215229,-0.259617537,0.436925381,0.290484488,0.585294664,0.618812203,-0.797769368,-1.358512521,-1.885130167,-0.827026367,880.9918823,0.758524776,9.169296265,1.231107235,-0.079717852,-0.244345918,-0.275194585,0.717846811,9.189635277,1.365105271
1.2,-0.122366905,-0.267486572,0.314774275,1.427887917,9.594037056,1.444292307,-0.086513728,-0.115987949,0.104152448,0.423963666,0.281813502,0.589898467,0.626596749,-0.79110992,-1.362185359,-1.845325351,-0.935302734,880.9933472,1.317248821,9.300901413,1.744367719,-0.083993904,-0.119118631,0.088575393,1.288534999,9.294919968,1.788634896
1.3,0.111098409,0.013347626,0.095986366,1.277229667,9.62714386,1.39583683,-0.057803079,0.003741547,0.178372517,0.419462889,0.286713481,0.595164478,0.6238361,-0.829740107,-1.376648545,-1.879033923,-0.774169922,880.9796753,1.299302697,9.584450722,1.483550072,-0.055283263,6.11E-04,0.162795469,1.339980721,9.588040352,1.467996716
1.4,0.064703822,0.092698097,0.005940199,1.136147261,9.645805359,1.35572207,-0.032146759,-8.40E-04,0.096211202,0.417720109,0.291493326,0.597581983,0.619223118,-0.873287499,-1.389431357,-1.928713202,-0.671142578,880.9647827,1.227517962,9.712467194,1.360319614,-0.029626941,-0.003970621,0.080634154,1.233500123,9.728020668,1.396211982
1.5,-0.175139189,0.013865471,4.37E-04,1.086157918,9.651988983,1.353807688,-7.64E-05,-0.104686953,0.006719512,0.412477702,0.288414985,0.601197243,0.62067765,-0.894250095,-1.392960548,-1.936897516,-0.573364258,880.9577026,0.910468996,9.645467758,1.353141189,0.002443459,-0.107817635,-0.008857539,0.893719256,9.610772133,1.322034478
1.6,-0.039909244,0.117540359,0.231133103,1.058578253,9.652468681,1.373431444,-0.031230463,-0.083917551,-0.027488915,0.406699508,0.282607347,0.605245173,0.623223007,-0.914085329,-1.393238425,-1.938256145,-0.583862305,880.9555054,1.037288666,9.751948357,1.647458434,-0.028710645,-0.087048233,-0.043065965,1.028913736,9.757930756,1.625923038
1.7,0.003610611,-0.183590889,0.158701062,1.115895152,9.646647453,1.377240181,-0.033979353,-0.004505128,-0.076052666,0.406759769,0.28076449,0.604113221,0.625715673,-0.888971508,-1.389242768,-1.908120751,-0.504638672,880.9508667,1.025324464,9.425328255,1.42372942,-0.031459536,-0.00763581,-0.091629714,1.077966571,9.427721024,1.47756803
1.8,-0.185193419,0.002034187,-0.014858365,1.111467123,9.649791718,1.347786427,-0.021151192,-0.081779525,-0.001832594,0.401332021,0.277067482,0.605445743,0.628968716,-0.881197691,-1.391699433,-1.886370182,-0.494018555,880.9459839,0.921236694,9.611968994,1.326820135,-0.018631376,-0.084910206,-0.017409647,0.949950576,9.628718376,1.409372568
1.9,-0.008238316,-0.048863411,0.058812261,1.086843252,9.652774811,1.346512675,-0.004352412,-0.052458014,0.007330378,0.397410005,0.274217635,0.607775509,0.630459249,-0.891707957,-1.393414617,-1.88568902,-0.512573242,880.949646,1.073180914,9.586843491,1.39860487,-0.001832594,-0.055588696,-0.008246674,1.068395257,9.578469276,1.397408366
2,-0.080654562,-0.117588997,-0.008539319,1.072389841,9.652663231,1.358840466,8.40E-04,-0.06223185,-0.00122173,0.394325495,0.270957917,0.609840274,0.631810188,-0.902678847,-1.39335084,-1.886207938,-0.478149414,880.9442749,0.961914718,9.449256897,1.34237349,0.003359756,-0.065362528,-0.016798781,0.997807026,9.458827972,1.356730461
2.1,0.044164896,-0.154751778,0.05559957,1.06406939,9.653626442,1.361443162,-0.025732679,-0.068035066,-0.010384701,0.390423924,0.267312169,0.611865699,0.63420707,-0.906357169,-1.393679619,-1.876657128,-0.488769531,880.9494019,1.097109199,9.333204269,1.404586911,-0.023212861,-0.071165748,-0.025961753,1.093519926,9.390632629,1.414158225
2.2,-0.024413586,0.280109406,0.35422492,1.038558125,9.656844139,1.351061583,-0.086819157,-0.221056685,0.009468404,0.384118289,0.262948662,0.614740849,0.636714101,-0.914207399,-1.395782709,-1.869008541,-0.406860352,880.9364624,1.013360381,9.841679573,1.692921996,-0.084299341,-0.224187374,-0.006108648,1.063609719,9.871589661,1.825723648
