time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1710954022303000000,0.234,45,1.5,1.0933676958084106,15.670000076293945,0,0,1098.3973764315208,-114.1340607,51.077736
1710954026866597400,4.797597412109375,0,1.5,1.1411168575286865,16.2189998626709,0.04530283808708191,0,1098.0076551788413,-114.1340604,51.0777391
1710954027866738200,5.79773828125,0,1.5,1.1806057691574097,16.5,0.0894816666841507,0,1098.0076551788413,-114.134061,51.0777422
1710954028866983700,6.797983642578125,45,1.5,1.1493548154830933,16.236000061035156,0.2463030368089676,354.1178894042969,1098.434493678383,-114.1340619,51.0777468
1710954029866227700,7.797227783203125,45,1.5,1.1630165576934814,16.055999755859375,0.2965289056301117,5.476648330688477,1098.82655455076,-114.1340606,51.0777499
1710954030866748200,8.797748046875,45,1.5,1.1366444826126099,15.314000129699707,1.4805667400360107,221.25595092773438,1098.49016985426,-114.1340899,51.0777265
1710954031866326300,9.797326171875,45,1.5,1.1782245635986328,14.82699966430664,1.193610668182373,218.6178741455078,1098.4437730155632,-114.1340974,51.0777196
1710954032866540500,10.79754052734375,45,1.5,1.1386090517044067,14.116999626159668,0.6110033988952637,222.58303833007812,1098.49016985426,-114.1340999,51.0777187
1710954033866966000,11.797966064453124,45,1.5,1.1679751873016357,13.435999870300293,0.20206618309020996,208.10032653808594,1098.5504861252755,-114.1340953,51.0777203
1710954034867094800,12.7980947265625,0,1.5,1.162737488746643,12.227999687194824,0.09606794267892838,0,1098.4089755536584,-114.1340886,51.077723
1710954035866552300,13.79755224609375,45,0.2358119636774063,1.1115154027938843,11.175000190734863,1.2019895315170288,46.582740783691406,1098.450732525134,-114.1340463,51.0777507
1710954036866846700,14.7978466796875,45,0.2898745834827423,1.1783127784729004,9.670000076293945,1.139708399772644,49.69129180908203,1098.2187519603976,-114.134034,51.0777549
1710954037867123700,15.798123779296875,45,0.5130773186683655,1.182407021522522,8.414999961853027,0.921057939529419,53.10763168334961,1098.0122946118906,-114.1340304,51.0777538
1710954038866367200,16.7973671875,45,0.3271626830101013,1.1440377235412598,7.949999809265137,0.6712499260902405,56.52172088623047,1098.2048333289551,-114.1340328,51.0777504
