time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1711551993807000000,0.241,45,1.5,0.8340786099433899,27.082000732421875,0,0,1099.0999755859375,-114.133851,51.0779383
1711551998859000000,5.293,45,1.5,0.8367955684661865,25.780000686645508,1.255230188369751,21.106578826904297,1099,-114.1337754,51.0780613
1711552003955000000,10.389,45,1.5,0.8553591966629028,22.382999420166016,0.5384000539779663,245.8549041748047,1099.0999755859375,-114.1338629,51.0780034
1711552009005000000,15.439,45,1.5,0.8492236137390137,21.930999755859375,1.648529291152954,22.03896141052246,1099.2000732421875,-114.1337393,51.0781508
1711552014103000000,20.537,45,1.5,0.856602668762207,27.336999893188477,0.971821129322052,18.216447830200195,1099.0999755859375,-114.1337548,51.0781477
1711552019032000000,25.466,45,1.5,0.8611969947814941,27.96500015258789,0.7333993911743164,32.56179428100586,1099.0999755859375,-114.1337265,51.0781744
1711552024106000000,30.539999755859377,45,1.5,0.8528657555580139,24.908000946044922,0.20256885886192322,341.5899963378906,1099.300048828125,-114.1337555,51.078169
1711552029080000000,35.514,0,1.5,0.863247811794281,23.239999771118164,0.02246874012053013,0,1099.0999755859375,-114.1337519,51.078157
1711552034105000000,40.539,0,1.5,0.8678688406944275,22.840999603271484,0.0646161139011383,0,1099.0999755859375,-114.1337409,51.07816
1711552039129000000,45.563,45,1.5,0.8731446862220764,25.089000701904297,0.6074298024177551,190.8887481689453,1099,-114.1337656,51.0780971
1711552041975367700,48.40936767578125,45,1.5,0.8832764029502869,78.87300109863281,0.5156633853912354,190.00942993164062,1099,-114.1337665,51.0780902
1711552042975616500,49.40961645507812,45,1.5,0.8884590864181519,87.50700378417969,0.4497520327568054,189.17909240722656,1099,-114.1337651,51.0780917
1711552043974986000,50.408986083984374,45,1.5,0.8954680562019348,90.33799743652344,0.3803709149360657,187.97018432617188,1099,-114.1337632,51.0780942
1711552044975657200,51.4096572265625,45,1.5,0.915701150894165,91.26699829101562,0.3076600730419159,186.2239227294922,1099,-114.1337609,51.0780979
1711552045975280600,52.40928076171875,45,1.5,0.9239794015884399,92.55400085449219,0.242460235953331,183.88479614257812,1099,-114.1337586,51.0781016
1711552046974905300,53.4089052734375,45,7.561359882354736,0.8753600716590881,93.12799835205078,0.17403143644332886,180.4547576904297,1099.2000732421875,-114.1337563,51.0781065
1711552047975267300,54.409267333984374,0,1.5,0.914254367351532,89.60099792480469,0.047563012689352036,0,1099.2000732421875,-114.1337514,51.0781195
1711552048974937000,55.40893701171875,0,1.5,0.9199092388153076,89.5770034790039,0.03499852493405342,0,1099.2000732421875,-114.1337498,51.078123
1711552049975530500,56.409530517578126,0,1.5,0.9423266053199768,89.5770034790039,0.05060124769806862,0,1099.2000732421875,-114.1337482,51.0781265
1711552050975008500,57.409008544921875,0,1.5,0.9454491138458252,93.5780029296875,0.06666557490825653,0,1099.2000732421875,-114.1337469,51.078129
1711552051975508500,58.40950854492188,0,1.5,0.9557193517684937,102.66699981689453,0.07788822054862976,0,1099.2000732421875,-114.1337459,51.0781309
1711552052975104300,59.40910424804687,0,1.5,0.9618368148803711,114.98400115966797,0.08572572469711304,0,1099.2000732421875,-114.133745,51.0781325
1711552053975619000,60.409619140625,0,1.5,0.9847102165222168,149.4080047607422,0.09133922308683395,0,1099.2000732421875,-114.1337442,51.0781339
1711552054974959400,61.40895947265625,0,1.5,0.9826303720474243,165.0260009765625,0.09562532603740692,0,1099.2000732421875,-114.1337434,51.0781352
1711552063141000000,69.575,45,1.5,0.9495994448661804,26.673999786376953,0.6763895153999329,192.14967346191406,1099.0999755859375,-114.1337903,51.0780129
1711552065974921000,72.4089208984375,45,1.5,0.9327725768089294,168.02200317382812,0.6290614604949951,192.1136932373047,1099.0999755859375,-114.1337941,51.0780014
1711552066975076600,73.40907666015624,45,1.5,0.9646384119987488,174.65899658203125,0.5792990326881409,192.0712432861328,1099.0999755859375,-114.1337941,51.0780013
1711552067975526100,74.40952612304687,45,1.5,0.9844036102294922,168.78799438476562,0.5024860501289368,191.99221801757812,1099.0999755859375,-114.1337929,51.0780044
1711552068975093800,75.40909375,45,4.9792985916137695,0.9643251895904541,160.3509979248047,0.3911258578300476,191.82801818847656,1099.0999755859375,-114.1337902,51.0780119
1711552069975693800,76.40969384765626,45,5.8890862464904785,1.0069717168807983,151.7779998779297,0.2469157576560974,191.4068603515625,1099.0999755859375,-114.1337858,51.0780242
1711552070975410000,77.40940991210938,0,5.548419952392578,1.0120965242385864,137.81100463867188,0.06648831814527512,0,1099.0999755859375,-114.1337792,51.078042
1711552071975160800,78.40916088867188,45,3.7919576168060303,1.0153491497039795,114.10900115966797,0.21973443031311035,17.353328704833984,1099.0999755859375,-114.1337657,51.0780732
1711552072975228700,79.40922875976563,45,3.401623010635376,1.0486034154891968,103.66000366210938,0.42510494589805603,17.46305274963379,1099.0999755859375,-114.1337534,51.0780977
1711552073975541800,80.40954174804688,45,3.4080023765563965,1.0462473630905151,74.29499816894531,0.5537875890731812,18.10673713684082,1099.0999755859375,-114.1337435,51.078115
