
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-153,-105,6,20,accel_data
Y,-41,-23,51,1.5,accel_data
X,-147,-133,24,5.5,accel_data
Relative Altitude,17,48,68,50.75,bar_data
Pressure,2,2,57,50.75,bar_data
Z,-36,12,58,40.5,gyro_data
Y,-135,-73,31,18,gyro_data
X,-114,-74,29,27,gyro_data
Z,-68,-24,55,68.25,grav_data
Y,31,33,75,71,grav_data
X,45,49,88,52,grav_data
qz,-21,48,70,85.5,orient_data
qy,-43,46,71,85.5,orient_data
qx,-55,-11,55,81.25,orient_data
qw,19,75,89,83.25,orient_data
roll,30,55,73,68.5,orient_data
pitch,42,56,83,60,orient_data
yaw,29,41,78,74.25,orient_data
