time,seconds_elapsed,relativeAltitude,pressure
1707003615363665000,0.214664794921875,0,886.9118041992188
1707003615403667000,0.2546669921875,0.0660400390625,886.9047241210938
1707003615443658800,0.29465869140625,-0.03955078125,886.9159545898438
1707003615483660300,0.334660400390625,-0.1082763671875,886.9232788085938
1707003615523658500,0.374658447265625,-0.150634765625,886.9279174804688
1707003615563661800,0.414661865234375,-0.253662109375,886.9391479492188
1707003615603683000,0.45468310546875,-0.359375,886.9503784179688
1707003615643658800,0.49465869140625,-0.4862060546875,886.9642944335938
1707003615683661600,0.53466162109375,-0.6287841796875,886.9796752929688
1707003615723664100,0.5746640625,-0.6578369140625,886.9826049804688
1707003615763669000,0.6146689453125,-0.7265625,886.9899291992188
1707003615803658800,0.65465869140625,-0.7794189453125,886.9957885742188
1707003615843660000,0.694659912109375,-0.819091796875,886.9999389648438
1707003615883660000,0.734659912109375,-0.8375244140625,887.0021362304688
1707003615923660000,0.774659912109375,-0.73974609375,886.9913940429688
1707003615963667500,0.81466748046875,-0.7001953125,886.9872436523438
1707003616003658800,0.85465869140625,-0.66845703125,886.9838256835938
1707003616043662600,0.89466259765625,-0.6182861328125,886.9784545898438
1707003616083659000,0.934658935546875,-0.6552734375,886.9823608398438
1707003616123930400,0.974930419921875,-0.6895751953125,886.9860229492188
1707003616163673900,1.014673828125,-0.697509765625,886.9869995117188
1707003616203658800,1.05465869140625,-0.6314697265625,886.9799194335938
1707003616243658800,1.09465869140625,-0.6051025390625,886.9769897460938
1707003616283660500,1.13466064453125,-0.6156005859375,886.9779663085938
1707003616323670800,1.1746708984375,-0.562744140625,886.9723510742188
1707003616363668500,1.21466845703125,-0.581298828125,886.9745483398438
1707003616403659000,1.254658935546875,-0.6287841796875,886.9794311523438
1707003616443660000,1.294659912109375,-0.626220703125,886.9791870117188
1707003616483652000,1.334652099609375,-0.59716796875,886.9760131835938
1707003616523658800,1.37465869140625,-0.6156005859375,886.9779663085938
1707003616563659000,1.414658935546875,-0.5284423828125,886.9686889648438
1707003616603658800,1.45465869140625,-0.549560546875,886.9708862304688
1707003616643660000,1.494659912109375,-0.472900390625,886.9628295898438
1707003616683670000,1.534669921875,-0.4306640625,886.9581909179688
1707003616723668700,1.574668701171875,-0.3751220703125,886.9523315429688
1707003616763660000,1.614659912109375,-0.32763671875,886.9472045898438
1707003616803658500,1.654658447265625,-0.2852783203125,886.9425659179688
1707003616843651000,1.694651123046875,-0.32763671875,886.9469604492188
1707003616883669000,1.7346689453125,-0.32763671875,886.9469604492188
1707003616923659800,1.77465966796875,-0.3038330078125,886.9445190429688
1707003616963660000,1.814659912109375,-0.298583984375,886.9437866210938
1707003617003660000,1.854659912109375,-0.324951171875,886.9467163085938
1707003617043671800,1.894671875,-0.37255859375,886.9518432617188
1707003617083663400,1.934663330078125,-0.383056640625,886.9530639648438
1707003617123661300,1.974661376953125,-0.35400390625,886.9498901367188
1707003617163659800,2.01465966796875,-0.3646240234375,886.9511108398438
1707003617203666700,2.054666748046875,-0.46240234375,886.9616088867188
1707003617243667700,2.094667724609375,-0.4544677734375,886.9606323242188
1707003617283658800,2.13465869140625,-0.4544677734375,886.9606323242188
1707003617323658800,2.17465869140625,-0.45703125,886.9611206054688
1707003617363669800,2.214669677734375,-0.478271484375,886.9633178710938
