
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-145,-102,-31,-34.5,accel_data
Y,-160,-122,-32,-18,accel_data
X,-146,-105,-33,-14.5,accel_data
Relative Altitude,-26,-16,0,-5.5,bar_data
Pressure,-34,-23,-3,-5.5,bar_data
Z,-114,-87,-27,-21,gyro_data
Y,-141,-88,-20,-16.5,gyro_data
X,-103,-75,-23,-20.5,gyro_data
Z,-35,-13,-1,-1,grav_data
Y,-51,-28,-2,-0.5,grav_data
X,-46,-31,-7,-1.5,grav_data
qz,-43,-12,0,-2,orient_data
qy,-43,-25,-2,-0.5,orient_data
qx,-36,-21,-1,-0.5,orient_data
qw,-45,-22,-2,-0.5,orient_data
roll,-28,-10,0,-1,orient_data
pitch,-51,-36,-7,0,orient_data
yaw,-71,-57,-13,2.5,orient_data
