
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-510,-432,-152,-133.25,accel_data
Y,-535,-457,-151,-105,accel_data
X,-568,-489,-169,-140.75,accel_data
Relative Altitude,-84,-51,-11,-19,bar_data
Pressure,-104,-73,-20,-19,bar_data
Z,-400,-243,-65,-21.5,gyro_data
Y,-509,-392,-123,-68.25,gyro_data
X,-371,-264,-68,-18.5,gyro_data
Z,-148,-88,-24,-3.75,grav_data
Y,-106,-47,-2,-3.75,grav_data
X,-156,-122,-27,10.75,grav_data
qz,-100,-71,-8,0.25,orient_data
qy,-149,-44,-3,12.75,orient_data
qx,-123,-75,-16,0.5,orient_data
qw,-189,-98,-25,-9.5,orient_data
roll,-194,-54,-7,13.75,orient_data
pitch,-115,-68,-6,-2.25,orient_data
yaw,-143,-54,-10,13.25,orient_data
