time,seconds_elapsed,steps
1710887905965157400,-61.662842529296874,0
1710887988079159800,20.451159912109375,12
1710887988668105000,21.04010498046875,13
1710887989254633000,21.626633056640625,14
1710887989842308600,22.21430859375,15
1710887990448502300,22.820502197265625,16
1710887991036946200,23.4089462890625,17
1710887991624578300,23.996578369140625,18
1710887992193187600,24.5651875,19
1710887992781319200,25.153319091796874,20
1710887993349868500,25.72186865234375,21
1710887993938978600,26.310978515625,22
1710887994507156200,26.87915625,23
1710887995094304300,27.46630419921875,24
1710887995662987500,28.034987548828123,25
1710887996251187000,28.62318701171875,26
1710887996819778800,29.19177880859375,27
1710887997389531100,29.76153125,28
1710887997962051600,30.334051513671874,29
1710887998529855700,30.901855712890626,30
1710887999098654200,31.470654296875,31
1710887999687688400,32.0596884765625,32
1710888000237551000,32.60955102539062,33
1710888000823916300,33.195916259765625,34
1710888001392763400,33.76476342773437,35
1710888002074321400,34.4463212890625,36
1710888002539851300,34.911851318359375,37
1710888003109087700,35.481087646484376,38
1710888003659408000,36.031407958984374,39
1710888004227304700,36.5993046875,40
1710888004816323300,37.1883232421875,41
1710888005383811600,37.7558115234375,42
1710888005952654800,38.32465478515625,43
1710888006540364300,38.9123642578125,44
1710888007109148200,39.481148193359374,45
1710888007678157300,40.0501572265625,46
1710888008247203600,40.61920361328125,47
1710888008815564500,41.187564453125,48
1710888009366037500,41.73803759765625,49
1710888009954440400,42.3264404296875,50
1710888010521932500,42.8939326171875,51
1710888011090764000,43.462763916015625,52
1710888011858013000,44.230012939453125,53
1710888012247989000,44.619989013671876,54
1710888012817424100,45.18942407226562,55
1710888013403887400,45.775887451171876,56
1710888013972711400,46.34471142578125,57
1710888014541519600,46.91351953125,58
1710888015110806000,47.482805908203126,59
1710888015679927000,48.051927001953125,60
1710888016248150800,48.62015087890625,61
1710888016909037600,49.28103759765625,62
1710888017365995300,49.737995361328124,63
1710888017953687600,50.3256875,64
1710888018522484500,50.894484375,65
1710888019091520800,51.463520751953126,66
1710888019679343900,52.05134375,67
1710888020267648800,52.63964868164062,68
1710888020836205600,53.20820556640625,69
1710888021404952800,53.776952880859376,70
1710888021993153000,54.36515307617187,71
1710888022562777300,54.93477734375,72
1710888023150686500,55.5226865234375,73
1710888023718112300,56.0901123046875,74
1710888024287047000,56.659046875,75
1710888024874880300,57.24688037109375,76
1710888025443527200,57.815527099609376,77
1710888026050046200,58.422046142578125,78
1710888026637968400,59.009968505859376,79
1710888027244790000,59.6167900390625,80
1710888027813650000,60.18564990234375,81
1710888028402576400,60.77457641601563,82
1710888028988940300,61.36094018554687,83
1710888029577445400,61.9494453125,84
1710888030145391900,62.51739184570312,85
1710888030733283800,63.10528393554687,86
1710888031303046400,63.67504638671875,87
1710888031908776700,64.28077661132812,88
1710888032458487800,64.83048779296875,89
1710888033046469600,65.4184697265625,90
1710888033615453400,65.98745336914062,91
1710888034223022000,66.59502197265626,92
1710888034790619600,67.16261962890626,93
1710888035359312000,67.73131176757812,94
1710888035928160300,68.30016015625,95
1710888036515916800,68.88791674804688,96
1710888037085975800,69.45797583007813,97
1710888037672425700,70.04442578125,98
1710888038241224700,70.613224609375,99
1710888038848197600,71.22019775390625,100
1710888039398113300,71.77011328125,101
1710888039986404400,72.358404296875,102
1710888040555670300,72.92767016601563,103
1710888041142068000,73.51406787109374,104
1710888041711127300,74.08312719726563,105
1710888042299097900,74.67109790039062,106
1710888042867482400,75.239482421875,107
1710888043456472300,75.82847241210938,108
1710888044023954700,76.39595458984375,109
1710888044593545700,76.96554565429688,110
1710888045161542000,77.5335419921875,111
1710888045749945900,78.12194580078125,112
1710888046318507000,78.69050708007812,113
1710888046906412300,79.27841235351562,114
1710888047512632600,79.88463256835938,115
1710888048062386000,80.43438598632812,116
1710888048631649500,81.0036494140625,117
1710888049219415800,81.59141577148438,118
1710888049787734300,82.159734375,119
1710888050376465200,82.74846508789062,120
1710888050945550800,83.31755078125,121
1710888051532257000,83.90425708007812,122
1710888052100882700,84.47288256835938,123
1710888052688558600,85.06055859375,124
1710888053258739500,85.63073950195313,125
1710888053846502000,86.218501953125,126
1710888054396238800,86.76823876953125,127
1710888054946041000,87.318041015625,128
1710888055532503800,87.90450390625,129
1710888056120528100,88.49252807617188,130
1710888056670596600,89.0425966796875,131
1710888057276796700,89.64879663085938,132
1710888057864621000,90.23662109375,133
1710888058434617600,90.80661767578125,134
1710888059002387200,91.37438720703125,135
1710888059591351000,91.96335107421875,136
1710888060177695700,92.54969580078125,137
1710888060746768400,93.11876831054687,138
1710888061315307300,93.68730737304688,139
1710888061903223000,94.27522314453125,140
1710888062453096200,94.82509619140625,141
1710888063060915500,95.43291552734375,142
1710888063610655500,95.98265551757812,143
1710888064197186800,96.56918676757813,144
1710888064765969200,97.13796923828124,145
1710888065354653000,97.72665283203125,146
1710888065922705000,98.29470483398437,147
1710888066491271200,98.86327124023437,148
1710888067060998700,99.43299853515624,149
1710888067647874800,100.01987475585938,150
1710888068235521300,100.60752124023438,151
1710888068823521300,101.19552124023437,152
1710888069412030700,101.78403076171875,153
1710888070000064300,102.37206420898437,154
1710888070586585000,102.95858520507812,155
1710888071194189300,103.56618920898437,156
1710888071762280000,104.13428002929687,157
1710888072368712200,104.74071215820312,158
1710888072918528000,105.29052807617188,159
1710888073525317400,105.8973173828125,160
1710888074094325200,106.4663251953125,161
1710888074682140200,107.05414013671874,162
1710888075251068200,107.62306811523437,163
1710888075838428400,108.21042846679687,164
1710888076426169000,108.79816918945312,165
1710888077014054000,109.38605395507813,166
