time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1710891002834101500,0.0891015625,0.526323676109314,0.02825375273823738,0.603205144405365,0.5986056327819824,-1.147694706916809,-0.8509472012519836,-2.012366771697998
1710891002853061000,0.10806103515625,0.5067085027694702,0.0177465733140707,0.6061487197875977,0.61279296875,-1.1508957147598267,-0.8646558523178101,-1.9635213613510132
1710891002872020700,0.127020751953125,0.4898006021976471,0.010238763876259327,0.6061573028564453,0.6265491843223572,-1.1429380178451538,-0.8782216906547546,-1.9136619567871094
1710891002890980400,0.14598046875,0.4844643771648407,0.008644278161227703,0.6050113439559937,0.6318075656890869,-1.1351624727249146,-0.8833629488945007,-1.8939173221588135
1710891002909940000,0.16493994140625,0.4905104637145996,0.013038980774581432,0.6038171648979187,0.6281992197036743,-1.13177490234375,-0.8810797929763794,-1.9077763557434082
1710891002928899600,0.183899658203125,0.49614375829696655,0.016891414299607277,0.6034578680992126,0.6240149736404419,-1.132035493850708,-0.8786759972572327,-1.9238215684890747
1710891002947859200,0.202859130859375,0.497823029756546,0.018664004281163216,0.6031678915023804,0.6229063868522644,-1.130933165550232,-0.8788678646087646,-1.9283177852630615
1710891002966818800,0.22181884765625,0.4978577196598053,0.01958986558020115,0.6026540398597717,0.6233474612236023,-1.1281771659851074,-0.8801456093788147,-1.9269347190856934
1710891002985778200,0.240778076171875,0.5010724663734436,0.02255542390048504,0.6018240451812744,0.6214703917503357,-1.1253137588500977,-0.8798377513885498,-1.9342116117477417
1710891003004737800,0.25973779296875,0.5047091245651245,0.02538374625146389,0.6016497611999512,0.6185805797576904,-1.1256662607192993,-0.8787793517112732,-1.945311427116394
1710891003023697400,0.278697509765625,0.5054857134819031,0.026582205668091774,0.6018733382225037,0.6176779270172119,-1.126419186592102,-0.8794708251953125,-1.949194073677063
1710891003042657000,0.297656982421875,0.5035504102706909,0.026488563045859337,0.6020429134368896,0.6190958023071289,-1.1255521774291992,-0.8821722865104675,-1.9445793628692627
1710891003061616600,0.31661669921875,0.5016416907310486,0.02618970349431038,0.6024448275566101,0.6202660202980042,-1.1258082389831543,-0.88454669713974,-1.9408541917800903
1710891003080576300,0.335576171875,0.4998016655445099,0.025877326726913452,0.6033328771591187,0.6209010481834412,-1.128157138824463,-0.8868528604507446,-1.9393304586410522
1710891003099536000,0.354535888671875,0.4969005286693573,0.024873407557606697,0.6043716669082642,0.6222588419914246,-1.1307345628738403,-0.8896803259849548,-1.935105562210083
1710891003118495500,0.37349560546875,0.4953335225582123,0.024867815896868706,0.6047521829605103,0.6231380701065063,-1.1310054063796997,-0.891991913318634,-1.9324665069580078
1710891003137455000,0.392455078125,0.4962499439716339,0.026158487424254417,0.6052370071411133,0.6218841671943665,-1.1329193115234375,-0.8926498889923096,-1.937877893447876
1710891003156414700,0.411414794921875,0.49629756808280945,0.026649735867977142,0.6060535907745361,0.6210294365882874,-1.1360576152801514,-0.8933990001678467,-1.9417818784713745
1710891003175374300,0.430374267578125,0.49494853615760803,0.026192650198936462,0.6064605116844177,0.6217278838157654,-1.1369459629058838,-0.894721508026123,-1.9395298957824707
1710891003194333700,0.449333740234375,0.494829922914505,0.026669364422559738,0.6061906218528748,0.6220651865005493,-1.135381817817688,-0.8955832719802856,-1.938420295715332
1710891003213293300,0.468293212890625,0.49534618854522705,0.027608565986156464,0.6063384413719177,0.6214689016342163,-1.1358050107955933,-0.8962535262107849,-1.941113829612732
1710891003232253000,0.4872529296875,0.49391689896583557,0.02702310122549534,0.6073618531227112,0.6216328740119934,-1.1393226385116577,-0.8975578546524048,-1.9411572217941284
1710891003251212500,0.506212646484375,0.49164435267448425,0.02548016980290413,0.6086733937263489,0.6222164034843445,-1.1440203189849854,-0.8986828327178955,-1.9394845962524414
1710891003270172200,0.525172119140625,0.48908472061157227,0.023273173719644547,0.6099661588668823,0.6230535507202148,-1.148884654045105,-0.8992303013801575,-1.9365308284759521
1710891003289131800,0.5441318359375,0.4853613078594208,0.019535237923264503,0.6103128790855408,0.625748336315155,-1.1498843431472778,-0.8991010785102844,-1.9254614114761353
1710891003308091400,0.56309130859375,0.48124733567237854,0.015158561989665031,0.6102845668792725,0.6290659308433533,-1.1495530605316162,-0.8985238671302795,-1.9114917516708374
1710891003327051000,0.582051025390625,0.47952011227607727,0.012048767879605293,0.6117236614227295,0.6290544271469116,-1.1565327644348145,-0.8965379595756531,-1.9109469652175903
1710891003346010600,0.6010107421875,0.4769890308380127,0.008904661983251572,0.614381730556488,0.6284403204917908,-1.1680819988250732,-0.8957841992378235,-1.9134600162506104
1710891003364970200,0.61997021484375,0.4710341989994049,0.004751293454319239,0.6174190640449524,0.6299983263015747,-1.179440975189209,-0.8985455632209778,-1.908209204673767
1710891003383929900,0.638929931640625,0.4619539678096771,-0.0018467851914465427,0.6199914813041687,0.6341968774795532,-1.1885654926300049,-0.9021912217140198,-1.8917897939682007
1710891003402889200,0.65788916015625,0.45449984073638916,-0.008858943358063698,0.6220356822013855,0.6375131607055664,-1.197340965270996,-0.9027915000915527,-1.877470850944519
1710891003421848800,0.676848876953125,0.455584853887558,-0.010900281369686127,0.6241043210029602,0.6346789598464966,-1.2085504531860352,-0.898317277431488,-1.8877122402191162
1710891003440808400,0.695808349609375,0.46117809414863586,-0.008685389533638954,0.6259313821792603,0.6288475394248962,-1.218489646911621,-0.8934199213981628,-1.9106903076171875
1710891003459768000,0.71476806640625,0.46493926644325256,-0.005823351908475161,0.6270098090171814,0.6250250339508057,-1.2235419750213623,-0.8920789957046509,-1.926482915878296
